Tag,Prediction,Actual,Time,Stock
Prediction,132.88956,132.11000061035156,2024-03-15 04:00:00+00:00,ARES
Prediction,132.91318,132.77999877929688,2024-03-14 04:00:00+00:00,ARES
Test,138.2373504638672,136.1138458251953,2024-03-14 04:00:00+00:00,ARES
Test,137.98826599121094,135.8222709732557,2024-03-13 04:00:00+00:00,ARES
Test,137.7812042236328,135.52092488758277,2024-03-12 04:00:00+00:00,ARES
Test,137.49676513671875,135.22302097797726,2024-03-11 04:00:00+00:00,ARES
Test,137.16551208496094,134.9346477687635,2024-03-08 05:00:00+00:00,ARES
Test,136.803466796875,134.63254137307,2024-03-07 05:00:00+00:00,ARES
Test,136.48890686035156,134.3170464225184,2024-03-06 05:00:00+00:00,ARES
Test,136.1443634033203,133.99819856124262,2024-03-05 05:00:00+00:00,ARES
Test,135.87960815429688,133.67891290643303,2024-03-04 05:00:00+00:00,ARES
Test,135.57533264160156,133.3547103248616,2024-03-01 05:00:00+00:00,ARES
Test,135.2748260498047,133.0505546950602,2024-02-29 05:00:00+00:00,ARES
Test,135.01995849609375,132.74838358386793,2024-02-28 05:00:00+00:00,ARES
Test,134.6783447265625,132.45539693988633,2024-02-27 05:00:00+00:00,ARES
Test,134.3214111328125,132.166098937461,2024-02-26 05:00:00+00:00,ARES
Test,133.85482788085938,131.86891312499154,2024-02-23 05:00:00+00:00,ARES
Test,133.51231384277344,131.56490327204654,2024-02-22 05:00:00+00:00,ARES
Test,133.1283721923828,131.2421506873745,2024-02-21 05:00:00+00:00,ARES
Test,132.6836700439453,130.93638839865082,2024-02-20 05:00:00+00:00,ARES
Test,132.2474822998047,130.62046949242307,2024-02-16 05:00:00+00:00,ARES
Test,131.76736450195312,130.28298492153152,2024-02-15 05:00:00+00:00,ARES
Test,131.3954315185547,129.94152625640882,2024-02-14 05:00:00+00:00,ARES
Test,130.90188598632812,129.58508544706734,2024-02-13 05:00:00+00:00,ARES
Test,130.4563751220703,129.24127496605905,2024-02-12 05:00:00+00:00,ARES
Test,129.99681091308594,128.8771802970018,2024-02-09 05:00:00+00:00,ARES
Test,129.71792602539062,128.5135795266287,2024-02-08 05:00:00+00:00,ARES
Test,129.38336181640625,128.1572988322827,2024-02-07 05:00:00+00:00,ARES
Test,129.11988830566406,127.85522330705908,2024-02-06 05:00:00+00:00,ARES
Test,128.7451171875,127.56686945570384,2024-02-05 05:00:00+00:00,ARES
Test,128.48374938964844,127.29773668433467,2024-02-02 05:00:00+00:00,ARES
Test,128.2348175048828,127.01276757355431,2024-02-01 05:00:00+00:00,ARES
Test,127.95645141601562,126.75599669729411,2024-01-31 05:00:00+00:00,ARES
Test,127.6559066772461,126.5072591791053,2024-01-30 05:00:00+00:00,ARES
Test,127.38666534423828,126.25016539037252,2024-01-29 05:00:00+00:00,ARES
Test,127.09024810791016,125.98817687528887,2024-01-26 05:00:00+00:00,ARES
Test,126.85657501220703,125.73704811959965,2024-01-25 05:00:00+00:00,ARES
