Tag,Prediction,Actual,Time,Stock
Prediction,231.43527,245.50999450683594,2024-03-15 04:00:00+00:00,CDW
Prediction,235.31567,246.47999572753906,2024-03-14 04:00:00+00:00,CDW
Test,244.7235107421875,249.86999511718747,2024-03-14 04:00:00+00:00,CDW
Test,244.25132751464844,249.18819224558987,2024-03-13 04:00:00+00:00,CDW
Test,243.6610870361328,248.47080713305508,2024-03-12 04:00:00+00:00,CDW
Test,243.1355743408203,247.73080371146364,2024-03-11 04:00:00+00:00,CDW
Test,242.62083435058594,247.0144388190906,2024-03-08 05:00:00+00:00,CDW
Test,242.05905151367188,246.29340729819745,2024-03-07 05:00:00+00:00,CDW
Test,241.4340057373047,245.56205892389437,2024-03-06 05:00:00+00:00,CDW
Test,240.9614715576172,244.84308590551043,2024-03-05 05:00:00+00:00,CDW
Test,240.43048095703125,244.152492020173,2024-03-04 05:00:00+00:00,CDW
Test,239.83335876464844,243.43216626787364,2024-03-01 05:00:00+00:00,CDW
Test,239.22450256347656,242.69751101775745,2024-02-29 05:00:00+00:00,CDW
Test,238.6476593017578,241.97476955029887,2024-02-28 05:00:00+00:00,CDW
Test,238.1741180419922,241.2669143717485,2024-02-27 05:00:00+00:00,CDW
Test,237.6645965576172,240.56413291122124,2024-02-26 05:00:00+00:00,CDW
Test,237.1313018798828,239.82712265992774,2024-02-23 05:00:00+00:00,CDW
Test,236.4129638671875,239.07194841885232,2024-02-22 05:00:00+00:00,CDW
Test,235.89529418945312,238.3144284398534,2024-02-21 05:00:00+00:00,CDW
Test,235.34317016601562,237.6467712593337,2024-02-20 05:00:00+00:00,CDW
Test,234.8521270751953,236.96783840700536,2024-02-16 05:00:00+00:00,CDW
Test,234.16355895996094,236.29086969435954,2024-02-15 05:00:00+00:00,CDW
Test,233.52120971679688,235.588169064045,2024-02-14 05:00:00+00:00,CDW
Test,233.14541625976562,234.93131651250144,2024-02-13 05:00:00+00:00,CDW
Test,232.6993865966797,234.30124004601882,2024-02-12 05:00:00+00:00,CDW
Test,232.11062622070312,233.59649860967315,2024-02-09 05:00:00+00:00,CDW
Test,231.3877410888672,232.83662605068645,2024-02-08 05:00:00+00:00,CDW
Test,230.66165161132812,232.09152041187318,2024-02-07 05:00:00+00:00,CDW
Test,230.2043914794922,231.44129309139092,2024-02-06 05:00:00+00:00,CDW
Test,229.8214874267578,230.89857363601504,2024-02-05 05:00:00+00:00,CDW
Test,229.25759887695312,230.34852431814554,2024-02-02 05:00:00+00:00,CDW
Test,228.6894073486328,229.7640904266914,2024-02-01 05:00:00+00:00,CDW
Test,228.3616485595703,229.2167395980199,2024-01-31 05:00:00+00:00,CDW
Test,227.85183715820312,228.7193178748547,2024-01-30 05:00:00+00:00,CDW
Test,227.40481567382812,228.16234472129133,2024-01-29 05:00:00+00:00,CDW
Test,226.91380310058594,227.61937687376476,2024-01-26 05:00:00+00:00,CDW
Test,226.35360717773438,227.0632739385673,2024-01-25 05:00:00+00:00,CDW
Test,225.85350036621094,226.51463718517138,2024-01-24 05:00:00+00:00,CDW
Test,225.48179626464844,226.00541231221425,2024-01-23 05:00:00+00:00,CDW
Test,225.00531005859375,225.5174142882894,2024-01-22 05:00:00+00:00,CDW
Test,224.48324584960938,224.9915953543145,2024-01-19 05:00:00+00:00,CDW
