Tag,Prediction,Actual,Time,Stock
Prediction,482.43045,513.0800170898438,2024-03-15 04:00:00+00:00,ELV
Prediction,489.68936,510.57000732421875,2024-03-14 04:00:00+00:00,ELV
Test,421.9685363769531,421.93619323270116,2024-03-14 04:00:00+00:00,ELV
Test,421.655029296875,421.66383810388135,2024-03-13 04:00:00+00:00,ELV
Test,421.39080810546875,421.39657897080707,2024-03-12 04:00:00+00:00,ELV
Test,421.0870666503906,421.1523960870918,2024-03-11 04:00:00+00:00,ELV
Test,420.88507080078125,420.8989498125621,2024-03-08 05:00:00+00:00,ELV
Test,420.63671875,420.66817726997135,2024-03-07 05:00:00+00:00,ELV
Test,420.3960876464844,420.4448044035746,2024-03-06 05:00:00+00:00,ELV
Test,420.21722412109375,420.2100379585238,2024-03-05 05:00:00+00:00,ELV
Test,419.98992919921875,420.01482630977273,2024-03-04 05:00:00+00:00,ELV
Test,419.8205261230469,419.77981608636304,2024-03-01 05:00:00+00:00,ELV
Test,419.6651611328125,419.5770835436863,2024-02-29 05:00:00+00:00,ELV
Test,419.4796447753906,419.35923168847455,2024-02-28 05:00:00+00:00,ELV
Test,419.2948913574219,419.1279279710471,2024-02-27 05:00:00+00:00,ELV
Test,419.12744140625,418.8671874633161,2024-02-26 05:00:00+00:00,ELV
Test,418.8448181152344,418.61035999365777,2024-02-23 05:00:00+00:00,ELV
Test,418.5790100097656,418.3025483003431,2024-02-22 05:00:00+00:00,ELV
Test,418.37237548828125,418.00532273330356,2024-02-21 05:00:00+00:00,ELV
Test,418.1343688964844,417.7245140186108,2024-02-20 05:00:00+00:00,ELV
Test,417.7939147949219,417.4449619189445,2024-02-16 05:00:00+00:00,ELV
Test,417.48919677734375,417.13891505748757,2024-02-15 05:00:00+00:00,ELV
Test,417.2063903808594,416.8561046128973,2024-02-14 05:00:00+00:00,ELV
Test,416.9393615722656,416.58955811989875,2024-02-13 05:00:00+00:00,ELV
Test,416.6639709472656,416.3265884961526,2024-02-12 05:00:00+00:00,ELV
Test,416.3634948730469,416.06233005302255,2024-02-09 05:00:00+00:00,ELV
Test,416.1197204589844,415.79063868323243,2024-02-08 05:00:00+00:00,ELV
Test,415.9149475097656,415.54368485451374,2024-02-07 05:00:00+00:00,ELV
Test,415.76397705078125,415.32463579498784,2024-02-06 05:00:00+00:00,ELV
Test,415.6329650878906,415.13105330001736,2024-02-05 05:00:00+00:00,ELV
Test,415.41339111328125,414.9600557728943,2024-02-02 05:00:00+00:00,ELV
Test,415.15142822265625,414.75506806067256,2024-02-01 05:00:00+00:00,ELV
Test,414.8609619140625,414.54654486634286,2024-01-31 05:00:00+00:00,ELV
Test,414.56494140625,414.35031833689044,2024-01-30 05:00:00+00:00,ELV
Test,414.34893798828125,414.16028493678573,2024-01-29 05:00:00+00:00,ELV
Test,414.1476745605469,414.0093693271279,2024-01-26 05:00:00+00:00,ELV
Test,413.9792175292969,413.8764375363617,2024-01-25 05:00:00+00:00,ELV
Test,413.9380798339844,413.7669941818804,2024-01-24 05:00:00+00:00,ELV
Test,413.8412170410156,413.70339878301263,2024-01-23 05:00:00+00:00,ELV
Test,413.7397155761719,413.64999467327215,2024-01-22 05:00:00+00:00,ELV
Test,413.7806396484375,413.598476753226,2024-01-19 05:00:00+00:00,ELV
Test,413.75640869140625,413.59788822915795,2024-01-18 05:00:00+00:00,ELV
Test,413.66326904296875,413.56369075482,2024-01-17 05:00:00+00:00,ELV
Test,413.67010498046875,413.48073505198363,2024-01-16 05:00:00+00:00,ELV
Test,413.6539611816406,413.4174794248286,2024-01-12 05:00:00+00:00,ELV
Test,413.5763244628906,413.34060141747364,2024-01-11 05:00:00+00:00,ELV
Test,413.48565673828125,413.2112430831757,2024-01-10 05:00:00+00:00,ELV
Test,413.32501220703125,413.0959545762882,2024-01-09 05:00:00+00:00,ELV
Test,413.2554626464844,412.9580074029942,2024-01-08 05:00:00+00:00,ELV
Test,413.1639099121094,412.8423467910427,2024-01-05 05:00:00+00:00,ELV
Test,412.9596862792969,412.72598843744646,2024-01-04 05:00:00+00:00,ELV
Test,412.7658386230469,412.57340302927116,2024-01-03 05:00:00+00:00,ELV
Test,412.5462341308594,412.4518050134518,2024-01-02 05:00:00+00:00,ELV
Test,412.49114990234375,412.3416079366436,2023-12-29 05:00:00+00:00,ELV
Test,412.5064697265625,412.2846550849269,2023-12-28 05:00:00+00:00,ELV
Train,412.51971435546875,412.2488488760834,2023-12-27 05:00:00+00:00,ELV
Train,412.4924621582031,412.2342014766944,2023-12-26 05:00:00+00:00,ELV
Train,412.4118347167969,412.21418071766476,2023-12-22 05:00:00+00:00,ELV
Train,412.3768615722656,412.19340558629943,2023-12-21 05:00:00+00:00,ELV
Train,412.42547607421875,412.19141458889374,2023-12-20 05:00:00+00:00,ELV
Train,412.3923034667969,412.2263693034819,2023-12-19 05:00:00+00:00,ELV
