Tag,Prediction,Actual,Time,Stock
Prediction,409.2084,416.7900085449219,2024-03-15 04:00:00+00:00,ERIE
Prediction,408.953,408.69000244140625,2024-03-14 04:00:00+00:00,ERIE
Test,394.4992980957031,397.0985665621888,2024-03-14 04:00:00+00:00,ERIE
Test,392.90594482421875,395.0296465559145,2024-03-13 04:00:00+00:00,ERIE
Test,391.0384826660156,392.9605671298859,2024-03-12 04:00:00+00:00,ERIE
Test,389.8543701171875,390.86977335111055,2024-03-11 04:00:00+00:00,ERIE
Test,388.0041809082031,388.85185982301584,2024-03-08 05:00:00+00:00,ERIE
Test,385.8267822265625,386.62191848967916,2024-03-07 05:00:00+00:00,ERIE
Test,383.7399597167969,384.35534497556523,2024-03-06 05:00:00+00:00,ERIE
Test,381.8409118652344,382.160466760347,2024-03-05 05:00:00+00:00,ERIE
Test,379.48651123046875,380.0019848628982,2024-03-04 05:00:00+00:00,ERIE
Test,377.4746398925781,377.7722607265947,2024-03-01 05:00:00+00:00,ERIE
Test,375.4178466796875,375.649522021104,2024-02-29 05:00:00+00:00,ERIE
Test,372.4443359375,373.4730914549447,2024-02-28 05:00:00+00:00,ERIE
Test,369.5921325683594,371.1960756869134,2024-02-27 05:00:00+00:00,ERIE
Test,368.17352294921875,369.26406576219046,2024-02-26 05:00:00+00:00,ERIE
Test,367.0169677734375,367.86524891784126,2024-02-23 05:00:00+00:00,ERIE
Test,365.73907470703125,366.5335893435118,2024-02-22 05:00:00+00:00,ERIE
Test,364.59979248046875,365.1564591434296,2024-02-21 05:00:00+00:00,ERIE
Test,363.3453674316406,363.7868509863716,2024-02-20 05:00:00+00:00,ERIE
Test,361.7724914550781,362.33421405396524,2024-02-16 05:00:00+00:00,ERIE
Test,360.30377197265625,360.8032806506432,2024-02-15 05:00:00+00:00,ERIE
Test,358.9299011230469,359.3311442341291,2024-02-14 05:00:00+00:00,ERIE
Test,357.7525329589844,357.9076889107648,2024-02-13 05:00:00+00:00,ERIE
Test,356.29620361328125,356.51240661605084,2024-02-12 05:00:00+00:00,ERIE
Test,354.7385559082031,355.0154908331859,2024-02-09 05:00:00+00:00,ERIE
Test,353.3565368652344,353.51659574255086,2024-02-08 05:00:00+00:00,ERIE
Test,351.9171142578125,352.0809411383564,2024-02-07 05:00:00+00:00,ERIE
Test,350.50390625,350.6385098274147,2024-02-06 05:00:00+00:00,ERIE
Test,349.2981872558594,349.2272081894878,2024-02-05 05:00:00+00:00,ERIE
Test,347.9265441894531,347.8697584002633,2024-02-02 05:00:00+00:00,ERIE
Test,346.5325927734375,346.44101419402375,2024-02-01 05:00:00+00:00,ERIE
Test,345.1495361328125,345.00907076603875,2024-01-31 05:00:00+00:00,ERIE
Test,343.7451171875,343.5864517564867,2024-01-30 05:00:00+00:00,ERIE
Test,342.4313659667969,342.1702689671458,2024-01-29 05:00:00+00:00,ERIE
Test,340.8653259277344,340.78055340906286,2024-01-26 05:00:00+00:00,ERIE
Test,339.62274169921875,339.3384493496914,2024-01-25 05:00:00+00:00,ERIE
Test,338.324462890625,338.01512330619494,2024-01-24 05:00:00+00:00,ERIE
Test,337.0688781738281,336.6655642977715,2024-01-23 05:00:00+00:00,ERIE
Test,335.62078857421875,335.30788408611505,2024-01-22 05:00:00+00:00,ERIE
Test,334.2729797363281,333.87834208084547,2024-01-19 05:00:00+00:00,ERIE
Test,332.7377624511719,332.4745446568047,2024-01-18 05:00:00+00:00,ERIE
Test,331.3332824707031,331.0154391440452,2024-01-17 05:00:00+00:00,ERIE
Test,329.9885559082031,329.6195231633977,2024-01-16 05:00:00+00:00,ERIE
Test,328.35498046875,328.2299488824545,2024-01-12 05:00:00+00:00,ERIE
Test,326.88818359375,326.76165415544045,2024-01-11 05:00:00+00:00,ERIE
Test,325.6581115722656,325.4012666602249,2024-01-10 05:00:00+00:00,ERIE
Test,324.4773254394531,324.140234973852,2024-01-09 05:00:00+00:00,ERIE
Test,323.2715148925781,322.8808658617003,2024-01-08 05:00:00+00:00,ERIE
Test,322.06805419921875,321.5903081686032,2024-01-05 05:00:00+00:00,ERIE
Test,320.7319030761719,320.27506416831966,2024-01-04 05:00:00+00:00,ERIE
Test,319.4759521484375,318.8986701187266,2024-01-03 05:00:00+00:00,ERIE
Test,318.13037109375,317.53610407842353,2024-01-02 05:00:00+00:00,ERIE
Test,316.7578430175781,316.1219483215988,2023-12-29 05:00:00+00:00,ERIE
Test,315.3791198730469,314.69873625476697,2023-12-28 05:00:00+00:00,ERIE
Train,314.0462646484375,313.279899707992,2023-12-27 05:00:00+00:00,ERIE
Train,312.73297119140625,311.8896135303331,2023-12-26 05:00:00+00:00,ERIE
Train,311.29217529296875,310.506314001396,2023-12-22 05:00:00+00:00,ERIE
Train,309.9169921875,309.0787624929378,2023-12-21 05:00:00+00:00,ERIE
Train,308.6640319824219,307.6979124569281,2023-12-20 05:00:00+00:00,ERIE
Train,307.3144836425781,306.3633880995118,2023-12-19 05:00:00+00:00,ERIE
Train,305.82513427734375,304.98739126838393,2023-12-18 05:00:00+00:00,ERIE
Train,304.4886169433594,303.5756623230449,2023-12-15 05:00:00+00:00,ERIE
Train,303.2364501953125,302.2514775179997,2023-12-14 05:00:00+00:00,ERIE
Train,301.8913879394531,300.9685033716931,2023-12-13 05:00:00+00:00,ERIE
Train,300.2678527832031,299.6489923036475,2023-12-12 05:00:00+00:00,ERIE
Train,298.7940979003906,298.24926473441104,2023-12-11 05:00:00+00:00,ERIE
Train,297.7623291015625,296.9784199721417,2023-12-08 05:00:00+00:00,ERIE
Train,296.6859130859375,295.9483539599326,2023-12-07 05:00:00+00:00,ERIE
Train,295.7466735839844,294.9051379505617,2023-12-06 05:00:00+00:00,ERIE
Train,294.62054443359375,293.94082617597337,2023-12-05 05:00:00+00:00,ERIE
Train,293.46881103515625,292.9011167887027,2023-12-04 05:00:00+00:00,ERIE
Train,292.42724609375,291.877484120922,2023-12-01 05:00:00+00:00,ERIE
Train,291.4523620605469,290.9456866117805,2023-11-30 05:00:00+00:00,ERIE
Train,290.80279541015625,290.060461287534,2023-11-29 05:00:00+00:00,ERIE
Train,290.1216125488281,289.3348975550064,2023-11-28 05:00:00+00:00,ERIE
Train,289.21881103515625,288.5876458945326,2023-11-27 05:00:00+00:00,ERIE
Train,288.2523498535156,287.7399081558419,2023-11-24 05:00:00+00:00,ERIE
Train,287.38470458984375,286.88274687755427,2023-11-22 05:00:00+00:00,ERIE
Train,286.6300048828125,286.0936587980475,2023-11-21 05:00:00+00:00,ERIE
Train,285.91192626953125,285.3795665027584,2023-11-20 05:00:00+00:00,ERIE
Train,285.31390380859375,284.6873883475126,2023-11-17 05:00:00+00:00,ERIE
Train,284.7005615234375,284.0563863349402,2023-11-16 05:00:00+00:00,ERIE
Train,284.1958312988281,283.40067127239894,2023-11-15 05:00:00+00:00,ERIE
Train,283.2842102050781,282.8017573303324,2023-11-14 05:00:00+00:00,ERIE
Train,282.4959411621094,281.9914154155591,2023-11-13 05:00:00+00:00,ERIE
Train,281.9203796386719,281.25355518399357,2023-11-10 05:00:00+00:00,ERIE
Train,281.3279113769531,280.6280978730522,2023-11-09 05:00:00+00:00,ERIE
Train,280.6697998046875,280.0026167026901,2023-11-08 05:00:00+00:00,ERIE
