Tag,Prediction,Actual,Time,Stock
Prediction,73.92931,75.02999877929688,2024-03-15 04:00:00+00:00,FAST
Prediction,74.08954,75.2699966430664,2024-03-14 04:00:00+00:00,FAST
Test,74.70338439941406,75.94000244140626,2024-03-14 04:00:00+00:00,FAST
Test,74.56425476074219,75.74729271899488,2024-03-13 04:00:00+00:00,FAST
Test,74.40172576904297,75.55573985003056,2024-03-12 04:00:00+00:00,FAST
Test,74.27323150634766,75.36072026318872,2024-03-11 04:00:00+00:00,FAST
Test,74.13410186767578,75.17418552491307,2024-03-08 05:00:00+00:00,FAST
Test,73.95854187011719,74.972897324008,2024-03-07 05:00:00+00:00,FAST
Test,73.8139877319336,74.76711213997488,2024-03-06 05:00:00+00:00,FAST
Test,73.6778335571289,74.57691641014989,2024-03-05 05:00:00+00:00,FAST
Test,73.50621795654297,74.38530002080097,2024-03-04 05:00:00+00:00,FAST
Test,73.36531066894531,74.18773587536036,2024-03-01 05:00:00+00:00,FAST
Test,73.22913360595703,74.0094386723885,2024-02-29 05:00:00+00:00,FAST
Test,73.0892333984375,73.82819896118114,2024-02-28 05:00:00+00:00,FAST
Test,72.95114135742188,73.63996119345819,2024-02-27 05:00:00+00:00,FAST
Test,72.81544494628906,73.45486419580199,2024-02-26 05:00:00+00:00,FAST
Test,72.69206237792969,73.27016528569128,2024-02-23 05:00:00+00:00,FAST
Test,72.54389190673828,73.09303827856763,2024-02-22 05:00:00+00:00,FAST
Test,72.41915893554688,72.91604197394804,2024-02-21 05:00:00+00:00,FAST
Test,72.29547119140625,72.75651983130152,2024-02-20 05:00:00+00:00,FAST
Test,72.17889404296875,72.59864995496604,2024-02-16 05:00:00+00:00,FAST
Test,72.05389404296875,72.4380032469643,2024-02-15 05:00:00+00:00,FAST
Test,71.90943145751953,72.27727168638151,2024-02-14 05:00:00+00:00,FAST
Test,71.80255889892578,72.11569048319012,2024-02-13 05:00:00+00:00,FAST
Test,71.67595672607422,71.96628290495227,2024-02-12 05:00:00+00:00,FAST
Test,71.53482055664062,71.80389926941162,2024-02-09 05:00:00+00:00,FAST
Test,71.40515899658203,71.64031562530062,2024-02-08 05:00:00+00:00,FAST
Test,71.255859375,71.4840372597291,2024-02-07 05:00:00+00:00,FAST
Test,71.10381317138672,71.32448317354883,2024-02-06 05:00:00+00:00,FAST
Test,70.97340393066406,71.16362458273018,2024-02-05 05:00:00+00:00,FAST
Test,70.79963684082031,71.00189525556571,2024-02-02 05:00:00+00:00,FAST
Test,70.60768127441406,70.82571878534353,2024-02-01 05:00:00+00:00,FAST
Test,70.45511627197266,70.65744910900462,2024-01-31 05:00:00+00:00,FAST
Test,70.27230072021484,70.50619944530439,2024-01-30 05:00:00+00:00,FAST
Test,70.10005187988281,70.34835562482094,2024-01-29 05:00:00+00:00,FAST
Test,69.94379425048828,70.19518443288933,2024-01-26 05:00:00+00:00,FAST
Test,69.77128601074219,70.04321811786805,2024-01-25 05:00:00+00:00,FAST
Test,69.62439727783203,69.88097295154525,2024-01-24 05:00:00+00:00,FAST
Test,69.47380065917969,69.7218194777186,2024-01-23 05:00:00+00:00,FAST
Test,69.34204864501953,69.5538692782767,2024-01-22 05:00:00+00:00,FAST
Test,69.2055435180664,69.38013520794728,2024-01-19 05:00:00+00:00,FAST
Test,69.02996826171875,69.2117531455508,2024-01-18 05:00:00+00:00,FAST
Test,68.95774841308594,69.05851079746608,2024-01-17 05:00:00+00:00,FAST
Test,68.87532806396484,68.95707426350643,2024-01-16 05:00:00+00:00,FAST
Test,68.79629516601562,68.85036301654198,2024-01-12 05:00:00+00:00,FAST
Test,68.71385955810547,68.74581404092572,2024-01-11 05:00:00+00:00,FAST
Test,68.62874603271484,68.64227558610747,2024-01-10 05:00:00+00:00,FAST
Test,68.54716491699219,68.54140963549227,2024-01-09 05:00:00+00:00,FAST
Test,68.46035766601562,68.44632270576476,2024-01-08 05:00:00+00:00,FAST
Test,68.37560272216797,68.35125699506918,2024-01-05 05:00:00+00:00,FAST
Test,68.2732925415039,68.26133946375906,2024-01-04 05:00:00+00:00,FAST
Test,68.18699645996094,68.16825025886311,2024-01-03 05:00:00+00:00,FAST
Test,68.08538818359375,68.0757976988824,2024-01-02 05:00:00+00:00,FAST
Test,67.95943450927734,67.96494259164551,2023-12-29 05:00:00+00:00,FAST
Test,67.83612060546875,67.83850531156298,2023-12-28 05:00:00+00:00,FAST
Train,67.69931030273438,67.71027790701741,2023-12-27 05:00:00+00:00,FAST
Train,67.55801391601562,67.57499883378051,2023-12-26 05:00:00+00:00,FAST
Train,67.41407775878906,67.43736052269433,2023-12-22 05:00:00+00:00,FAST
Train,67.26392364501953,67.30003830836425,2023-12-21 05:00:00+00:00,FAST
Train,67.12512969970703,67.16476157241688,2023-12-20 05:00:00+00:00,FAST
Train,66.9854736328125,67.03402835791734,2023-12-19 05:00:00+00:00,FAST
Train,66.84156799316406,66.90167987461534,2023-12-18 05:00:00+00:00,FAST
Train,66.70830535888672,66.76906922385767,2023-12-15 05:00:00+00:00,FAST
Train,66.57137298583984,66.64132511161363,2023-12-14 05:00:00+00:00,FAST
Train,66.44327545166016,66.51171880830249,2023-12-13 05:00:00+00:00,FAST
Train,66.31114196777344,66.38350820782067,2023-12-12 05:00:00+00:00,FAST
Train,66.17399597167969,66.25632962811125,2023-12-11 05:00:00+00:00,FAST
Train,66.07356262207031,66.13489833369339,2023-12-08 05:00:00+00:00,FAST
Train,65.96713256835938,66.0260448959347,2023-12-07 05:00:00+00:00,FAST
Train,65.8412094116211,65.91544096485872,2023-12-06 05:00:00+00:00,FAST
Train,65.75111389160156,65.80692426272383,2023-12-05 05:00:00+00:00,FAST
Train,65.66516876220703,65.71536858091449,2023-12-04 05:00:00+00:00,FAST
Train,65.56744384765625,65.62516040385364,2023-12-01 05:00:00+00:00,FAST
Train,65.47991180419922,65.53617358523559,2023-11-30 05:00:00+00:00,FAST
Train,65.40263366699219,65.45751269052752,2023-11-29 05:00:00+00:00,FAST
Train,65.33626556396484,65.38252252182816,2023-11-28 05:00:00+00:00,FAST
Train,65.24578857421875,65.30352404602876,2023-11-27 05:00:00+00:00,FAST
Train,65.15172576904297,65.21008528485898,2023-11-24 05:00:00+00:00,FAST
Train,65.05396270751953,65.11575491056439,2023-11-22 05:00:00+00:00,FAST
Train,64.96233367919922,65.02184707969363,2023-11-21 05:00:00+00:00,FAST
Train,64.86697387695312,64.92943132973143,2023-11-20 05:00:00+00:00,FAST
Train,64.76673126220703,64.83331584108508,2023-11-17 05:00:00+00:00,FAST
Train,64.66553497314453,64.73868651948887,2023-11-16 05:00:00+00:00,FAST
