Tag,Prediction,Actual,Time,Stock
Prediction,447.35535,475.9599914550781,2024-03-15 04:00:00+00:00,FDS
Prediction,453.84888,478.8800048828125,2024-03-14 04:00:00+00:00,FDS
Test,417.1764221191406,417.5313384284231,2024-03-14 04:00:00+00:00,FDS
Test,416.8614196777344,417.2524019436979,2024-03-13 04:00:00+00:00,FDS
Test,416.5948791503906,416.95646808174934,2024-03-12 04:00:00+00:00,FDS
Test,416.17974853515625,416.6666089198372,2024-03-11 04:00:00+00:00,FDS
Test,416.0300598144531,416.39369413404773,2024-03-08 05:00:00+00:00,FDS
Test,415.8338928222656,416.17935873616574,2024-03-07 05:00:00+00:00,FDS
Test,415.720947265625,415.95723977856954,2024-03-06 05:00:00+00:00,FDS
Test,415.6260681152344,415.7467748483947,2024-03-05 05:00:00+00:00,FDS
Test,415.4144287109375,415.5384871306662,2024-03-04 05:00:00+00:00,FDS
Test,415.26300048828125,415.3251687650909,2024-03-01 05:00:00+00:00,FDS
Test,415.2165832519531,415.13138133958114,2024-02-29 05:00:00+00:00,FDS
Test,414.988525390625,414.9291301660124,2024-02-28 05:00:00+00:00,FDS
Test,414.786865234375,414.70597764463,2024-02-27 05:00:00+00:00,FDS
Test,414.7519836425781,414.5126866678331,2024-02-26 05:00:00+00:00,FDS
Test,414.5522155761719,414.33239689140515,2024-02-23 05:00:00+00:00,FDS
Test,414.29010009765625,414.12545394048584,2024-02-22 05:00:00+00:00,FDS
Test,414.19683837890625,413.9438822946907,2024-02-21 05:00:00+00:00,FDS
Test,414.0135192871094,413.7932936994269,2024-02-20 05:00:00+00:00,FDS
Test,413.926513671875,413.62118887572944,2024-02-16 05:00:00+00:00,FDS
Test,413.6507263183594,413.4387953692151,2024-02-15 05:00:00+00:00,FDS
Test,413.40606689453125,413.22222990756427,2024-02-14 05:00:00+00:00,FDS
Test,413.274658203125,413.0174548992422,2024-02-13 05:00:00+00:00,FDS
Test,413.1861572265625,412.80212996131,2024-02-12 05:00:00+00:00,FDS
Test,412.7007751464844,412.53845435619775,2024-02-09 05:00:00+00:00,FDS
Test,412.7265319824219,412.23500894697213,2024-02-08 05:00:00+00:00,FDS
Test,412.3045654296875,411.97459148500417,2024-02-07 05:00:00+00:00,FDS
Test,411.94287109375,411.63433900923525,2024-02-06 05:00:00+00:00,FDS
Test,411.80242919921875,411.3258274925074,2024-02-05 05:00:00+00:00,FDS
Test,411.41925048828125,411.01527791233144,2024-02-02 05:00:00+00:00,FDS
Test,410.8973388671875,410.6457580879614,2024-02-01 05:00:00+00:00,FDS
Test,410.70538330078125,410.28710076807323,2024-01-31 05:00:00+00:00,FDS
Test,410.2665710449219,409.9788213161193,2024-01-30 05:00:00+00:00,FDS
Test,409.92596435546875,409.648064164455,2024-01-29 05:00:00+00:00,FDS
Test,409.64520263671875,409.35524717874557,2024-01-26 05:00:00+00:00,FDS
Test,409.34527587890625,409.07292701642956,2024-01-25 05:00:00+00:00,FDS
Test,409.1087646484375,408.78610012898804,2024-01-24 05:00:00+00:00,FDS
Test,408.78759765625,408.49869696934394,2024-01-23 05:00:00+00:00,FDS
Test,408.49517822265625,408.2089026714702,2024-01-22 05:00:00+00:00,FDS
Test,408.27777099609375,407.93672277472984,2024-01-19 05:00:00+00:00,FDS
Test,408.05810546875,407.6897559760601,2024-01-18 05:00:00+00:00,FDS
Test,407.9066467285156,407.45534773123086,2024-01-17 05:00:00+00:00,FDS
Test,407.7347412109375,407.2367318108808,2024-01-16 05:00:00+00:00,FDS
Test,407.43511962890625,406.99236471740653,2024-01-12 05:00:00+00:00,FDS
Test,407.1557922363281,406.71865628660555,2024-01-11 05:00:00+00:00,FDS
Test,406.74261474609375,406.45321028902526,2024-01-10 05:00:00+00:00,FDS
Test,406.5719909667969,406.1999026657542,2024-01-09 05:00:00+00:00,FDS
Test,406.2555847167969,405.9979619341499,2024-01-08 05:00:00+00:00,FDS
Test,406.13763427734375,405.7670788160408,2024-01-05 05:00:00+00:00,FDS
Test,405.8984680175781,405.54865437468317,2024-01-04 05:00:00+00:00,FDS
Test,405.7492980957031,405.3183410463136,2024-01-03 05:00:00+00:00,FDS
Test,405.67169189453125,405.1088171954247,2024-01-02 05:00:00+00:00,FDS
Test,405.26312255859375,404.8451372297361,2023-12-29 05:00:00+00:00,FDS
Test,404.8085021972656,404.4852850417463,2023-12-28 05:00:00+00:00,FDS
Train,404.38214111328125,404.12447549162647,2023-12-27 05:00:00+00:00,FDS
Train,403.9373474121094,403.77808737834846,2023-12-26 05:00:00+00:00,FDS
Train,403.6991271972656,403.44175480333695,2023-12-22 05:00:00+00:00,FDS
Train,403.22265625,403.1241458037067,2023-12-21 05:00:00+00:00,FDS
Train,402.9654846191406,402.7970960471027,2023-12-20 05:00:00+00:00,FDS
Train,402.9241638183594,402.58783382413804,2023-12-19 05:00:00+00:00,FDS
Train,402.6628112792969,402.4017871145213,2023-12-18 05:00:00+00:00,FDS
Train,402.3646545410156,402.14762183852423,2023-12-15 05:00:00+00:00,FDS
Train,402.2077941894531,401.9018619979424,2023-12-14 05:00:00+00:00,FDS
Train,401.8983459472656,401.6744502352107,2023-12-13 05:00:00+00:00,FDS
Train,401.66033935546875,401.41110087050725,2023-12-12 05:00:00+00:00,FDS
Train,401.4180908203125,401.18553640233193,2023-12-11 05:00:00+00:00,FDS
Train,401.23870849609375,400.9863001973786,2023-12-08 05:00:00+00:00,FDS
Train,401.0968017578125,400.82196457569887,2023-12-07 05:00:00+00:00,FDS
Train,400.924560546875,400.66854000451696,2023-12-06 05:00:00+00:00,FDS
Train,400.795166015625,400.50410910334136,2023-12-05 05:00:00+00:00,FDS
Train,400.5508117675781,400.31757985542845,2023-12-04 05:00:00+00:00,FDS
Train,400.2622375488281,400.0745456234183,2023-12-01 05:00:00+00:00,FDS
Train,400.00274658203125,399.8234129802475,2023-11-30 05:00:00+00:00,FDS
Train,399.70928955078125,399.5824310016774,2023-11-29 05:00:00+00:00,FDS
Train,399.4580078125,399.3328736625828,2023-11-28 05:00:00+00:00,FDS
Train,399.13671875,399.0729169951443,2023-11-27 05:00:00+00:00,FDS
Train,398.8003845214844,398.7839956906363,2023-11-24 05:00:00+00:00,FDS
Train,398.5262145996094,398.4939513422365,2023-11-22 05:00:00+00:00,FDS
Train,398.201416015625,398.21855416225,2023-11-21 05:00:00+00:00,FDS
Train,397.8882751464844,397.94344395989475,2023-11-20 05:00:00+00:00,FDS
Train,397.6388244628906,397.67636273977763,2023-11-17 05:00:00+00:00,FDS
Train,397.2175598144531,397.39725178037116,2023-11-16 05:00:00+00:00,FDS
Train,396.92938232421875,397.0647418901623,2023-11-15 05:00:00+00:00,FDS
Train,396.5775146484375,396.771887061053,2023-11-14 05:00:00+00:00,FDS
Train,396.3362121582031,396.46997585830695,2023-11-13 05:00:00+00:00,FDS
Train,396.0903015136719,396.2100240157483,2023-11-10 05:00:00+00:00,FDS
Train,395.8293762207031,395.9511719347763,2023-11-09 05:00:00+00:00,FDS
Train,395.65887451171875,395.7237250050812,2023-11-08 05:00:00+00:00,FDS
Train,395.4351806640625,395.5156290082238,2023-11-07 05:00:00+00:00,FDS
Train,395.2335205078125,395.2819507233241,2023-11-06 05:00:00+00:00,FDS
Train,395.0826110839844,395.06377746056967,2023-11-03 04:00:00+00:00,FDS
Train,394.8918762207031,394.8649794891987,2023-11-02 04:00:00+00:00,FDS
Train,394.7578125,394.6762094815857,2023-11-01 04:00:00+00:00,FDS
Train,394.6552734375,394.52968281078455,2023-10-31 04:00:00+00:00,FDS
Train,394.5318908691406,394.4181290189487,2023-10-30 04:00:00+00:00,FDS
Train,394.5907287597656,394.3416970959345,2023-10-27 04:00:00+00:00,FDS
Train,394.4590148925781,394.3179648408541,2023-10-26 04:00:00+00:00,FDS
Train,394.4257507324219,394.226206454963,2023-10-25 04:00:00+00:00,FDS
Train,394.33966064453125,394.1721064022659,2023-10-24 04:00:00+00:00,FDS
Train,394.1951599121094,394.0721462757425,2023-10-23 04:00:00+00:00,FDS
Train,394.0926513671875,393.9572098089082,2023-10-20 04:00:00+00:00,FDS
Train,393.921142578125,393.85370335247154,2023-10-19 04:00:00+00:00,FDS
Train,393.7030334472656,393.69507964619567,2023-10-18 04:00:00+00:00,FDS
