Tag,Prediction,Actual,Time,Stock
Prediction,191.6072,204.66000366210938,2024-03-15 04:00:00+00:00,HLT
Prediction,193.40526,206.9199981689453,2024-03-14 04:00:00+00:00,HLT
Test,197.15850830078125,208.52999877929688,2024-03-14 04:00:00+00:00,HLT
Test,196.93743896484375,207.9553261026481,2024-03-13 04:00:00+00:00,HLT
Test,196.68531799316406,207.35917696631336,2024-03-12 04:00:00+00:00,HLT
Test,196.47540283203125,206.77600526167686,2024-03-11 04:00:00+00:00,HLT
Test,196.23443603515625,206.22091243853922,2024-03-08 05:00:00+00:00,HLT
Test,195.99070739746094,205.6452726296879,2024-03-07 05:00:00+00:00,HLT
Test,195.7703399658203,205.0746514275299,2024-03-06 05:00:00+00:00,HLT
Test,195.5358123779297,204.5154161254905,2024-03-05 05:00:00+00:00,HLT
Test,195.31646728515625,203.9503546887788,2024-03-04 05:00:00+00:00,HLT
Test,195.0751953125,203.39758232922026,2024-03-01 05:00:00+00:00,HLT
Test,194.85702514648438,202.81312490966394,2024-02-29 05:00:00+00:00,HLT
Test,194.64657592773438,202.23130969837075,2024-02-28 05:00:00+00:00,HLT
Test,194.3928680419922,201.64986892418494,2024-02-27 05:00:00+00:00,HLT
Test,194.19247436523438,201.0689213746538,2024-02-26 05:00:00+00:00,HLT
Test,193.94015502929688,200.49089543665013,2024-02-23 05:00:00+00:00,HLT
Test,193.64797973632812,199.89138810287827,2024-02-22 05:00:00+00:00,HLT
Test,193.38648986816406,199.3122414343556,2024-02-21 05:00:00+00:00,HLT
Test,193.1655731201172,198.77078853790348,2024-02-20 05:00:00+00:00,HLT
Test,192.9271697998047,198.2485578476021,2024-02-16 05:00:00+00:00,HLT
Test,192.62811279296875,197.71725299780528,2024-02-15 05:00:00+00:00,HLT
Test,192.3292236328125,197.19901364303968,2024-02-14 05:00:00+00:00,HLT
Test,192.0720977783203,196.71816199322907,2024-02-13 05:00:00+00:00,HLT
Test,191.75791931152344,196.2647706715017,2024-02-12 05:00:00+00:00,HLT
Test,191.4951629638672,195.767242539395,2024-02-09 05:00:00+00:00,HLT
Test,191.231201171875,195.2831819674721,2024-02-08 05:00:00+00:00,HLT
Test,190.95359802246094,194.76727786156076,2024-02-07 05:00:00+00:00,HLT
Test,190.65768432617188,194.2301276821062,2024-02-06 05:00:00+00:00,HLT
Test,190.3909149169922,193.706313397025,2024-02-05 05:00:00+00:00,HLT
Test,190.06207275390625,193.19041342242693,2024-02-02 05:00:00+00:00,HLT
Test,189.7020721435547,192.65474725482753,2024-02-01 05:00:00+00:00,HLT
Test,189.4682159423828,192.1311042978678,2024-01-31 05:00:00+00:00,HLT
Test,189.1506805419922,191.63755199357476,2024-01-30 05:00:00+00:00,HLT
Test,188.84303283691406,191.1011560011629,2024-01-29 05:00:00+00:00,HLT
Test,188.52340698242188,190.5734615880781,2024-01-26 05:00:00+00:00,HLT
Test,188.11802673339844,190.0487625862343,2024-01-25 05:00:00+00:00,HLT
Test,187.80960083007812,189.53105102735884,2024-01-24 05:00:00+00:00,HLT
Test,187.5237274169922,189.0618819897414,2024-01-23 05:00:00+00:00,HLT
Test,187.2017364501953,188.59178867717583,2024-01-22 05:00:00+00:00,HLT
Test,186.88641357421875,188.105002239281,2024-01-19 05:00:00+00:00,HLT
Test,186.5579376220703,187.62820551196063,2024-01-18 05:00:00+00:00,HLT
Test,186.24951171875,187.16906233632963,2024-01-17 05:00:00+00:00,HLT
Test,185.9467315673828,186.7343345657718,2024-01-16 05:00:00+00:00,HLT
Test,185.6461181640625,186.31083669602197,2024-01-12 05:00:00+00:00,HLT
Test,185.35435485839844,185.8872312310532,2024-01-11 05:00:00+00:00,HLT
Test,185.0328826904297,185.46070623770603,2024-01-10 05:00:00+00:00,HLT
Test,184.74549865722656,185.02635683418987,2024-01-09 05:00:00+00:00,HLT
Test,184.39114379882812,184.60005678983418,2024-01-08 05:00:00+00:00,HLT
Test,184.06471252441406,184.16355220223105,2024-01-05 05:00:00+00:00,HLT
Test,183.7506103515625,183.74589969220193,2024-01-04 05:00:00+00:00,HLT
Test,183.45558166503906,183.3479571177392,2024-01-03 05:00:00+00:00,HLT
Test,183.16766357421875,182.94486840627545,2024-01-02 05:00:00+00:00,HLT
Test,182.8004150390625,182.52373150001492,2023-12-29 05:00:00+00:00,HLT
Test,182.4176483154297,182.07290062844655,2023-12-28 05:00:00+00:00,HLT
Train,182.01214599609375,181.6233392208392,2023-12-27 05:00:00+00:00,HLT
Train,181.627197265625,181.17333873136005,2023-12-26 05:00:00+00:00,HLT
Train,181.2662811279297,180.72409158964197,2023-12-22 05:00:00+00:00,HLT
Train,180.78195190429688,180.26746077471387,2023-12-21 05:00:00+00:00,HLT
Train,180.48638916015625,179.80724941763268,2023-12-20 05:00:00+00:00,HLT
Train,180.07313537597656,179.39535250727397,2023-12-19 05:00:00+00:00,HLT
Train,179.61793518066406,178.95236592436254,2023-12-18 05:00:00+00:00,HLT
Train,179.18605041503906,178.52294473823977,2023-12-15 05:00:00+00:00,HLT
Train,178.81893920898438,178.10738099484502,2023-12-14 05:00:00+00:00,HLT
Train,178.42237854003906,177.69504147998475,2023-12-13 05:00:00+00:00,HLT
Train,177.9659423828125,177.26127764052603,2023-12-12 05:00:00+00:00,HLT
Train,177.41293334960938,176.81740502422525,2023-12-11 05:00:00+00:00,HLT
Train,177.06565856933594,176.39177767844131,2023-12-08 05:00:00+00:00,HLT
Train,176.67124938964844,176.04163611024725,2023-12-07 05:00:00+00:00,HLT
Train,176.35354614257812,175.7012852173412,2023-12-06 05:00:00+00:00,HLT
Train,176.17066955566406,175.39139751760558,2023-12-05 05:00:00+00:00,HLT
Train,175.79922485351562,175.08790502665155,2023-12-04 05:00:00+00:00,HLT
Train,175.35903930664062,174.7236486037041,2023-12-01 05:00:00+00:00,HLT
Train,175.0391082763672,174.3668205806518,2023-11-30 05:00:00+00:00,HLT
Train,174.74563598632812,174.05430908822817,2023-11-29 05:00:00+00:00,HLT
Train,174.4802703857422,173.75155549504072,2023-11-28 05:00:00+00:00,HLT
Train,174.1668243408203,173.43619148119012,2023-11-27 05:00:00+00:00,HLT
Train,173.850341796875,173.09814065087065,2023-11-24 05:00:00+00:00,HLT
Train,173.43699645996094,172.7421802218917,2023-11-22 05:00:00+00:00,HLT
Train,173.0348358154297,172.36548113012591,2023-11-21 05:00:00+00:00,HLT
Train,172.6419677734375,172.00301786681067,2023-11-20 05:00:00+00:00,HLT
Train,172.2313690185547,171.64765749853078,2023-11-17 05:00:00+00:00,HLT
Train,171.83853149414062,171.30227700214618,2023-11-16 05:00:00+00:00,HLT
Train,171.60691833496094,170.9705377463208,2023-11-15 05:00:00+00:00,HLT
Train,171.1285400390625,170.6619342599833,2023-11-14 05:00:00+00:00,HLT
Train,170.83937072753906,170.32906942648984,2023-11-13 05:00:00+00:00,HLT
Train,170.4620361328125,170.05841947723556,2023-11-10 05:00:00+00:00,HLT
Train,170.2222137451172,169.79851299426508,2023-11-09 05:00:00+00:00,HLT
Train,170.09364318847656,169.58963677612687,2023-11-08 05:00:00+00:00,HLT
Train,169.8350372314453,169.39936962475673,2023-11-07 05:00:00+00:00,HLT
Train,169.71148681640625,169.19018685061482,2023-11-06 05:00:00+00:00,HLT
Train,169.37811279296875,169.0055584271525,2023-11-03 04:00:00+00:00,HLT
Train,169.20040893554688,168.81184307969968,2023-11-02 04:00:00+00:00,HLT
Train,169.1216583251953,168.68082112599475,2023-11-01 04:00:00+00:00,HLT
Train,169.0025177001953,168.5716499810196,2023-10-31 04:00:00+00:00,HLT
Train,168.7981719970703,168.45532651597145,2023-10-30 04:00:00+00:00,HLT
Train,168.69976806640625,168.34187397956043,2023-10-27 04:00:00+00:00,HLT
Train,168.73599243164062,168.26040894020556,2023-10-26 04:00:00+00:00,HLT
Train,168.59713745117188,168.18921491688138,2023-10-25 04:00:00+00:00,HLT
Train,168.43002319335938,168.08142657170586,2023-10-24 04:00:00+00:00,HLT
Train,168.36561584472656,167.99010314625372,2023-10-23 04:00:00+00:00,HLT
Train,168.42068481445312,167.92644688672118,2023-10-20 04:00:00+00:00,HLT
Train,168.4195556640625,167.8668527910443,2023-10-19 04:00:00+00:00,HLT
Train,168.39462280273438,167.7627204276643,2023-10-18 04:00:00+00:00,HLT
Train,168.21002197265625,167.62586313318042,2023-10-17 04:00:00+00:00,HLT
Train,167.8874053955078,167.44643383423568,2023-10-16 04:00:00+00:00,HLT
Train,167.90771484375,167.28212580463136,2023-10-13 04:00:00+00:00,HLT
Train,167.76028442382812,167.17877620241526,2023-10-12 04:00:00+00:00,HLT
Train,167.573974609375,167.02485177727115,2023-10-11 04:00:00+00:00,HLT
Train,167.26522827148438,166.85810591382983,2023-10-10 04:00:00+00:00,HLT
Train,167.2329864501953,166.70008337291912,2023-10-09 04:00:00+00:00,HLT
Train,167.03543090820312,166.59705890730007,2023-10-06 04:00:00+00:00,HLT
Train,167.0067901611328,166.4644371253131,2023-10-05 04:00:00+00:00,HLT
Train,166.6889190673828,166.35679595823396,2023-10-04 04:00:00+00:00,HLT
Train,166.74432373046875,166.2283577902223,2023-10-03 04:00:00+00:00,HLT
Train,166.6920928955078,166.17051616188135,2023-10-02 04:00:00+00:00,HLT
Train,166.7401580810547,166.0703171329024,2023-09-29 04:00:00+00:00,HLT
Train,166.38580322265625,165.9526916789099,2023-09-28 04:00:00+00:00,HLT
Train,166.21978759765625,165.7738008081357,2023-09-27 04:00:00+00:00,HLT
Train,166.18569946289062,165.66777687677487,2023-09-26 04:00:00+00:00,HLT
Train,166.125244140625,165.59585389781066,2023-09-25 04:00:00+00:00,HLT
Train,166.0626678466797,165.51500575451678,2023-09-22 04:00:00+00:00,HLT
Train,166.2288360595703,165.43722247110387,2023-09-21 04:00:00+00:00,HLT
Train,166.05926513671875,165.35654605098262,2023-09-20 04:00:00+00:00,HLT
Train,165.9755859375,165.18580971095648,2023-09-19 04:00:00+00:00,HLT
Train,165.8344268798828,165.02387934777258,2023-09-18 04:00:00+00:00,HLT
Train,165.71083068847656,164.83862599819707,2023-09-15 04:00:00+00:00,HLT
