Tag,Prediction,Actual,Time,Stock
Prediction,334.18896,348.1499938964844,2024-03-15 04:00:00+00:00,HUM
Prediction,339.96143,348.8900146484375,2024-03-14 04:00:00+00:00,HUM
Test,352.03057861328125,337.9200134277344,2024-03-14 04:00:00+00:00,HUM
Test,352.78924560546875,339.0669883091476,2024-03-13 04:00:00+00:00,HUM
Test,353.2780456542969,340.2551878282397,2024-03-12 04:00:00+00:00,HUM
Test,354.91650390625,341.45129995392927,2024-03-11 04:00:00+00:00,HUM
Test,355.53277587890625,342.6377531986271,2024-03-08 05:00:00+00:00,HUM
Test,356.54443359375,343.90296402039183,2024-03-07 05:00:00+00:00,HUM
Test,357.4853820800781,345.16337839346863,2024-03-06 05:00:00+00:00,HUM
Test,357.3807067871094,346.4471717987893,2024-03-05 05:00:00+00:00,HUM
Test,357.8316955566406,347.7500525102047,2024-03-04 05:00:00+00:00,HUM
Test,359.0138244628906,348.9771866844818,2024-03-01 05:00:00+00:00,HUM
Test,359.90521240234375,350.162964191691,2024-02-29 05:00:00+00:00,HUM
Test,359.9344482421875,351.37260597115346,2024-02-28 05:00:00+00:00,HUM
Test,361.0832214355469,352.58204925205064,2024-02-27 05:00:00+00:00,HUM
Test,361.7445983886719,353.6890232682883,2024-02-26 05:00:00+00:00,HUM
Test,362.295654296875,354.8295547826085,2024-02-23 05:00:00+00:00,HUM
Test,363.26287841796875,355.94904108408025,2024-02-22 05:00:00+00:00,HUM
Test,364.2090148925781,357.02594605119583,2024-02-21 05:00:00+00:00,HUM
Test,365.1471862792969,358.1145604241555,2024-02-20 05:00:00+00:00,HUM
Test,366.2036437988281,359.2148055625278,2024-02-16 05:00:00+00:00,HUM
Test,367.3101806640625,360.3244574163856,2024-02-15 05:00:00+00:00,HUM
Test,368.12042236328125,361.47020931054766,2024-02-14 05:00:00+00:00,HUM
Test,368.84039306640625,362.64015622974557,2024-02-13 05:00:00+00:00,HUM
Test,369.89923095703125,363.7963431862912,2024-02-12 05:00:00+00:00,HUM
Test,371.1252136230469,364.91423472234624,2024-02-09 05:00:00+00:00,HUM
Test,372.1592712402344,366.02833092510537,2024-02-08 05:00:00+00:00,HUM
Test,372.9814453125,367.17459068655216,2024-02-07 05:00:00+00:00,HUM
Test,373.9529724121094,368.3209125042638,2024-02-06 05:00:00+00:00,HUM
Test,373.85247802734375,369.4972313514591,2024-02-05 05:00:00+00:00,HUM
Test,374.7583923339844,370.7350948870875,2024-02-02 05:00:00+00:00,HUM
Test,375.1906433105469,371.80148434179324,2024-02-01 05:00:00+00:00,HUM
Test,375.474609375,372.90602624364453,2024-01-31 05:00:00+00:00,HUM
Test,376.6798095703125,373.9954257703508,2024-01-30 05:00:00+00:00,HUM
Test,377.85699462890625,375.10486486209606,2024-01-29 05:00:00+00:00,HUM
Test,378.8034362792969,376.3332693738021,2024-01-26 05:00:00+00:00,HUM
Test,378.5776672363281,377.6185042535636,2024-01-25 05:00:00+00:00,HUM
Test,379.0415344238281,378.9731008556192,2024-01-24 05:00:00+00:00,HUM
Test,379.77362060546875,379.85141335944394,2024-01-23 05:00:00+00:00,HUM
Test,380.7123718261719,380.68283251740377,2024-01-22 05:00:00+00:00,HUM
Test,381.39666748046875,381.49795643077806,2024-01-19 05:00:00+00:00,HUM
Test,381.99993896484375,382.40358062587063,2024-01-18 05:00:00+00:00,HUM
Test,382.4432678222656,383.206185385169,2024-01-17 05:00:00+00:00,HUM
Test,382.9980163574219,383.6384474903416,2024-01-16 05:00:00+00:00,HUM
Test,383.525634765625,384.16841044102546,2024-01-12 05:00:00+00:00,HUM
Test,383.87567138671875,384.7030194339883,2024-01-11 05:00:00+00:00,HUM
Test,384.1961669921875,385.0685219314108,2024-01-10 05:00:00+00:00,HUM
Test,384.5640869140625,385.3930559870179,2024-01-09 05:00:00+00:00,HUM
Test,384.9499816894531,385.7175875918852,2024-01-08 05:00:00+00:00,HUM
Test,385.39337158203125,386.0290144927732,2024-01-05 05:00:00+00:00,HUM
Test,385.6595764160156,386.3693380206951,2024-01-04 05:00:00+00:00,HUM
Test,385.9842529296875,386.62268806102225,2024-01-03 05:00:00+00:00,HUM
Test,386.1906433105469,386.89983428026864,2024-01-02 05:00:00+00:00,HUM
Test,386.4471130371094,387.11821463158174,2023-12-29 05:00:00+00:00,HUM
Test,386.6489562988281,387.4726456342813,2023-12-28 05:00:00+00:00,HUM
Train,386.9946594238281,387.8538658829244,2023-12-27 05:00:00+00:00,HUM
Train,387.3835144042969,388.2938571679107,2023-12-26 05:00:00+00:00,HUM
Train,387.7856750488281,388.72157884660476,2023-12-22 05:00:00+00:00,HUM
Train,388.12799072265625,389.1484162571919,2023-12-21 05:00:00+00:00,HUM
Train,388.5699768066406,389.57024403609233,2023-12-20 05:00:00+00:00,HUM
Train,388.8733825683594,390.0181559682489,2023-12-19 05:00:00+00:00,HUM
Train,389.36016845703125,390.33845814655047,2023-12-18 05:00:00+00:00,HUM
Train,389.8283386230469,390.701143814716,2023-12-15 05:00:00+00:00,HUM
Train,390.3243103027344,391.0504592490791,2023-12-14 05:00:00+00:00,HUM
