Tag,Prediction,Actual,Time,Stock
Prediction,185.23386,188.47999572753906,2024-03-15 04:00:00+00:00,NUE
Prediction,184.76042,182.08999633789062,2024-03-14 04:00:00+00:00,NUE
Test,190.5712432861328,193.1199951171875,2024-03-14 04:00:00+00:00,NUE
Test,190.2992401123047,192.8906490394683,2024-03-13 04:00:00+00:00,NUE
Test,190.10986328125,192.63992165669808,2024-03-12 04:00:00+00:00,NUE
Test,189.91651916503906,192.39966840025443,2024-03-11 04:00:00+00:00,NUE
Test,189.72732543945312,192.13862972026305,2024-03-08 05:00:00+00:00,NUE
Test,189.5080108642578,191.8659259117485,2024-03-07 05:00:00+00:00,NUE
Test,189.34315490722656,191.58556672560013,2024-03-06 05:00:00+00:00,NUE
Test,189.2076416015625,191.3211715553028,2024-03-05 05:00:00+00:00,NUE
Test,189.06411743164062,191.05357515993265,2024-03-04 05:00:00+00:00,NUE
Test,188.84487915039062,190.76032378657447,2024-03-01 05:00:00+00:00,NUE
Test,188.6179962158203,190.42915990841908,2024-02-29 05:00:00+00:00,NUE
Test,188.40185546875,190.07952793846093,2024-02-28 05:00:00+00:00,NUE
Test,188.0510711669922,189.72876717018167,2024-02-27 05:00:00+00:00,NUE
Test,187.71292114257812,189.36617804309446,2024-02-26 05:00:00+00:00,NUE
Test,187.35394287109375,189.01701016111556,2024-02-23 05:00:00+00:00,NUE
Test,187.0581817626953,188.68211871096725,2024-02-22 05:00:00+00:00,NUE
Test,186.86370849609375,188.3797021638367,2024-02-21 05:00:00+00:00,NUE
Test,186.70152282714844,188.09914678122567,2024-02-20 05:00:00+00:00,NUE
Test,186.50978088378906,187.82061083292191,2024-02-16 05:00:00+00:00,NUE
Test,186.17127990722656,187.52357147869816,2024-02-15 05:00:00+00:00,NUE
Test,185.9287109375,187.21636267358159,2024-02-14 05:00:00+00:00,NUE
Test,185.8907928466797,186.9630314914061,2024-02-13 05:00:00+00:00,NUE
Test,185.8222198486328,186.72473716754376,2024-02-12 05:00:00+00:00,NUE
Test,185.72604370117188,186.41453579255355,2024-02-09 05:00:00+00:00,NUE
Test,185.607177734375,186.09756361174803,2024-02-08 05:00:00+00:00,NUE
Test,185.36439514160156,185.78113014385116,2024-02-07 05:00:00+00:00,NUE
Test,185.22396850585938,185.46341678369532,2024-02-06 05:00:00+00:00,NUE
Test,185.06048583984375,185.19586887965417,2024-02-05 05:00:00+00:00,NUE
Test,184.89707946777344,184.9161311582049,2024-02-02 05:00:00+00:00,NUE
Test,184.65545654296875,184.62277804047483,2024-02-01 05:00:00+00:00,NUE
Test,184.3596954345703,184.3031624016535,2024-01-31 05:00:00+00:00,NUE
Test,183.7343292236328,183.96705370405374,2024-01-30 05:00:00+00:00,NUE
Test,183.46060180664062,183.6070536789226,2024-01-29 05:00:00+00:00,NUE
Test,183.22756958007812,183.37928515159825,2024-01-26 05:00:00+00:00,NUE
Test,182.96153259277344,183.16691636362003,2024-01-25 05:00:00+00:00,NUE
