Tag,Prediction,Actual,Time,Stock
Prediction,120.02311,125.54000091552734,2024-03-15 04:00:00+00:00,ORCL
Prediction,120.49091,125.52999877929688,2024-03-14 04:00:00+00:00,ORCL
Test,127.14484405517578,127.54000091552736,2024-03-14 04:00:00+00:00,ORCL
Test,127.050537109375,127.39151684715867,2024-03-13 04:00:00+00:00,ORCL
Test,126.90108489990234,127.24217069875176,2024-03-12 04:00:00+00:00,ORCL
Test,126.8270492553711,127.07852830948103,2024-03-11 04:00:00+00:00,ORCL
Test,126.77738189697266,127.0028266885964,2024-03-08 05:00:00+00:00,ORCL
Test,126.67327117919922,126.93802839834403,2024-03-07 05:00:00+00:00,ORCL
Test,126.59674072265625,126.85866560785608,2024-03-06 05:00:00+00:00,ORCL
Test,126.56604766845703,126.79400292338084,2024-03-05 05:00:00+00:00,ORCL
Test,126.50912475585938,126.73786475711707,2024-03-04 05:00:00+00:00,ORCL
Test,126.45366668701172,126.66033730179635,2024-03-01 05:00:00+00:00,ORCL
Test,126.4247817993164,126.58420627917587,2024-02-29 05:00:00+00:00,ORCL
Test,126.3951187133789,126.52183190735843,2024-02-28 05:00:00+00:00,ORCL
Test,126.38247680664062,126.45905512023893,2024-02-27 05:00:00+00:00,ORCL
Test,126.40152740478516,126.39792038291823,2024-02-26 05:00:00+00:00,ORCL
Test,126.39473724365234,126.33919714193055,2024-02-23 05:00:00+00:00,ORCL
Test,126.34996795654297,126.27335649645458,2024-02-22 05:00:00+00:00,ORCL
Test,126.33136749267578,126.2135665745198,2024-02-21 05:00:00+00:00,ORCL
Test,126.30760955810547,126.17309911786296,2024-02-20 05:00:00+00:00,ORCL
Test,126.26670837402344,126.13035283471139,2024-02-16 05:00:00+00:00,ORCL
Test,126.18901062011719,126.06741009332747,2024-02-15 05:00:00+00:00,ORCL
Test,126.08843994140625,125.99378093928388,2024-02-14 05:00:00+00:00,ORCL
Test,125.99491882324219,125.90928875542971,2024-02-13 05:00:00+00:00,ORCL
Test,125.87651062011719,125.82831225326719,2024-02-12 05:00:00+00:00,ORCL
Test,125.76856231689453,125.73155275310093,2024-02-09 05:00:00+00:00,ORCL
Test,125.64508819580078,125.62847994140839,2024-02-08 05:00:00+00:00,ORCL
Test,125.51934051513672,125.524428881821,2024-02-07 05:00:00+00:00,ORCL
Test,125.40843200683594,125.4154694525635,2024-02-06 05:00:00+00:00,ORCL
Test,125.31098937988281,125.31986045401064,2024-02-05 05:00:00+00:00,ORCL
Test,125.17140197753906,125.2157790262989,2024-02-02 05:00:00+00:00,ORCL
Test,125.01248931884766,125.11530754729776,2024-02-01 05:00:00+00:00,ORCL
Test,124.88034057617188,125.0160265135113,2024-01-31 05:00:00+00:00,ORCL
Test,124.71575164794922,124.94383133016656,2024-01-30 05:00:00+00:00,ORCL
Test,124.56006622314453,124.8532412612216,2024-01-29 05:00:00+00:00,ORCL
Test,124.41728973388672,124.76501744246292,2024-01-26 05:00:00+00:00,ORCL
Test,124.27911376953125,124.66966108931975,2024-01-25 05:00:00+00:00,ORCL
Test,124.1447525024414,124.57099378627349,2024-01-24 05:00:00+00:00,ORCL
Test,124.03169250488281,124.47672660122998,2024-01-23 05:00:00+00:00,ORCL
Test,123.95303344726562,124.40015683703972,2024-01-22 05:00:00+00:00,ORCL
Test,123.8727798461914,124.33589983542961,2024-01-19 05:00:00+00:00,ORCL
Test,123.80169677734375,124.2743944288405,2024-01-18 05:00:00+00:00,ORCL
Test,123.77334594726562,124.21970994230391,2024-01-17 05:00:00+00:00,ORCL
Test,123.7440414428711,124.18167981130243,2024-01-16 05:00:00+00:00,ORCL
Test,123.71646881103516,124.14232314023461,2024-01-12 05:00:00+00:00,ORCL
Test,123.6976547241211,124.1024574913208,2024-01-11 05:00:00+00:00,ORCL
Test,123.70500946044922,124.07619331635834,2024-01-10 05:00:00+00:00,ORCL
Test,123.71022033691406,124.05621361761949,2024-01-09 05:00:00+00:00,ORCL
Test,123.69049072265625,124.04136366147988,2024-01-08 05:00:00+00:00,ORCL
Test,123.68447875976562,124.01853398552595,2024-01-05 05:00:00+00:00,ORCL
Test,123.67861938476562,124.01034128902245,2024-01-04 05:00:00+00:00,ORCL
Test,123.68856048583984,124.00316644931152,2024-01-03 05:00:00+00:00,ORCL
