Tag,Prediction,Actual,Time,Stock
Prediction,16.435009,16.25,2024-03-15 04:00:00+00:00,PCG
Prediction,16.410358,16.170000076293945,2024-03-14 04:00:00+00:00,PCG
Test,18.11794090270996,18.127645247128395,2024-03-14 04:00:00+00:00,PCG
Test,18.119874954223633,18.13154069730909,2024-03-13 04:00:00+00:00,PCG
Test,18.1254940032959,18.133645116772925,2024-03-12 04:00:00+00:00,PCG
Test,18.128183364868164,18.136396145743493,2024-03-11 04:00:00+00:00,PCG
Test,18.129941940307617,18.13813193008268,2024-03-08 05:00:00+00:00,PCG
Test,18.12771987915039,18.139002233785412,2024-03-07 05:00:00+00:00,PCG
Test,18.12938690185547,18.139638254112207,2024-03-06 05:00:00+00:00,PCG
Test,18.13713264465332,18.141080140271285,2024-03-05 05:00:00+00:00,PCG
Test,18.133943557739258,18.14301383300119,2024-03-04 05:00:00+00:00,PCG
Test,18.134382247924805,18.141651395908305,2024-03-01 05:00:00+00:00,PCG
Test,18.1337890625,18.142223105953143,2024-02-29 05:00:00+00:00,PCG
Test,18.132572174072266,18.14206756768599,2024-02-28 05:00:00+00:00,PCG
Test,18.13136863708496,18.142725786257497,2024-02-27 05:00:00+00:00,PCG
Test,18.143451690673828,18.14338826514339,2024-02-26 05:00:00+00:00,PCG
Test,18.134790420532227,18.14585914544527,2024-02-23 05:00:00+00:00,PCG
Test,18.13714599609375,18.142916178542126,2024-02-22 05:00:00+00:00,PCG
Test,18.133380889892578,18.143090534349657,2024-02-21 05:00:00+00:00,PCG
Test,18.129255294799805,18.14218947658636,2024-02-20 05:00:00+00:00,PCG
Test,18.13168716430664,18.142528760395408,2024-02-16 05:00:00+00:00,PCG
Test,18.130056381225586,18.144537434115914,2024-02-15 05:00:00+00:00,PCG
Test,18.131175994873047,18.14572306694544,2024-02-14 05:00:00+00:00,PCG
Test,18.13682746887207,18.148426993980596,2024-02-13 05:00:00+00:00,PCG
Test,18.135848999023438,18.15165409216571,2024-02-12 05:00:00+00:00,PCG
Test,18.141340255737305,18.153551207103117,2024-02-09 05:00:00+00:00,PCG
Test,18.148252487182617,18.15715619325835,2024-02-08 05:00:00+00:00,PCG
Test,18.14946174621582,18.160870499358737,2024-02-07 05:00:00+00:00,PCG
Test,18.156421661376953,18.16315930334211,2024-02-06 05:00:00+00:00,PCG
Test,18.16606903076172,18.166919140704476,2024-02-05 05:00:00+00:00,PCG
Test,18.175268173217773,18.169587718964824,2024-02-02 05:00:00+00:00,PCG
Test,18.168107986450195,18.16986083984375,2024-02-01 05:00:00+00:00,PCG
Test,18.169239044189453,18.166070405631473,2024-01-31 05:00:00+00:00,PCG
Test,18.168140411376953,18.16442380634748,2024-01-30 05:00:00+00:00,PCG
Test,18.163488388061523,18.161894917140703,2024-01-29 05:00:00+00:00,PCG
Test,18.15317726135254,18.158824138360178,2024-01-26 05:00:00+00:00,PCG
Test,18.145105361938477,18.15608284099645,2024-01-25 05:00:00+00:00,PCG
Test,18.143966674804688,18.155346554556186,2024-01-24 05:00:00+00:00,PCG
Test,18.147918701171875,18.156636310622464,2024-01-23 05:00:00+00:00,PCG
Test,18.152055740356445,18.15802374235026,2024-01-22 05:00:00+00:00,PCG
Test,18.148338317871094,18.158175863440093,2024-01-19 05:00:00+00:00,PCG
Test,18.144115447998047,18.156187085098917,2024-01-18 05:00:00+00:00,PCG
Test,18.1425724029541,18.15436333706312,2024-01-17 05:00:00+00:00,PCG
Test,18.144702911376953,18.151807535327006,2024-01-16 05:00:00+00:00,PCG
Test,18.13924217224121,18.147880385173067,2024-01-12 05:00:00+00:00,PCG
Test,18.14554214477539,18.14030394373274,2024-01-11 05:00:00+00:00,PCG
Test,18.135339736938477,18.13212787504854,2024-01-10 05:00:00+00:00,PCG
Test,18.127628326416016,18.11851302135495,2024-01-09 05:00:00+00:00,PCG
Test,18.115291595458984,18.105714638636474,2024-01-08 05:00:00+00:00,PCG
Test,18.10283851623535,18.092915024230596,2024-01-05 05:00:00+00:00,PCG
Test,18.09897232055664,18.081496869527726,2024-01-04 05:00:00+00:00,PCG
Test,18.089523315429688,18.07166039607332,2024-01-03 05:00:00+00:00,PCG
Test,18.0770320892334,18.059337276181914,2024-01-02 05:00:00+00:00,PCG
Test,18.06591033935547,18.046177603399364,2023-12-29 05:00:00+00:00,PCG
Test,18.05265998840332,18.033107530393682,2023-12-28 05:00:00+00:00,PCG
Train,18.041263580322266,18.019564715625428,2023-12-27 05:00:00+00:00,PCG
Train,18.028322219848633,18.007334496030687,2023-12-26 05:00:00+00:00,PCG
Train,18.017070770263672,17.995579918147843,2023-12-22 05:00:00+00:00,PCG
Train,18.010129928588867,17.986109460568372,2023-12-21 05:00:00+00:00,PCG
Train,18.008129119873047,17.97809166966122,2023-12-20 05:00:00+00:00,PCG
Train,17.99492645263672,17.970969316596054,2023-12-19 05:00:00+00:00,PCG
Train,17.99720573425293,17.9612972545516,2023-12-18 05:00:00+00:00,PCG
Train,17.991365432739258,17.9544418300154,2023-12-15 05:00:00+00:00,PCG
Train,17.985746383666992,17.94327828452805,2023-12-14 05:00:00+00:00,PCG
Train,17.965177536010742,17.930669613429526,2023-12-13 05:00:00+00:00,PCG
Train,17.952421188354492,17.9155269558497,2023-12-12 05:00:00+00:00,PCG
Train,17.941516876220703,17.904376299068723,2023-12-11 05:00:00+00:00,PCG
Train,17.926515579223633,17.894121107953172,2023-12-08 05:00:00+00:00,PCG
Train,17.916616439819336,17.883982994955613,2023-12-07 05:00:00+00:00,PCG
Train,17.90728187561035,17.876141216591424,2023-12-06 05:00:00+00:00,PCG
Train,17.9073429107666,17.86952968716315,2023-12-05 05:00:00+00:00,PCG
Train,17.902799606323242,17.864661860916318,2023-12-04 05:00:00+00:00,PCG
Train,17.886947631835938,17.857651786998336,2023-12-01 05:00:00+00:00,PCG
Train,17.88030242919922,17.848775557984442,2023-11-30 05:00:00+00:00,PCG
Train,17.88058853149414,17.84265560222171,2023-11-29 05:00:00+00:00,PCG
Train,17.880643844604492,17.836486490187795,2023-11-28 05:00:00+00:00,PCG
Train,17.870100021362305,17.826908619395024,2023-11-27 05:00:00+00:00,PCG
Train,17.855806350708008,17.81316520178066,2023-11-24 05:00:00+00:00,PCG
Train,17.838064193725586,17.798078653992633,2023-11-22 05:00:00+00:00,PCG
Train,17.823762893676758,17.783384145864574,2023-11-21 05:00:00+00:00,PCG
Train,17.815319061279297,17.77094867103492,2023-11-20 05:00:00+00:00,PCG
Train,17.79730796813965,17.75903414535789,2023-11-17 05:00:00+00:00,PCG
Train,17.7829532623291,17.744517675016148,2023-11-16 05:00:00+00:00,PCG
Train,17.769514083862305,17.731661384857475,2023-11-15 05:00:00+00:00,PCG
Train,17.74998664855957,17.72122229877042,2023-11-14 05:00:00+00:00,PCG
Train,17.753162384033203,17.711857695597,2023-11-13 05:00:00+00:00,PCG
Train,17.747234344482422,17.711217757285887,2023-11-10 05:00:00+00:00,PCG
Train,17.747987747192383,17.708335664387185,2023-11-09 05:00:00+00:00,PCG
Train,17.749282836914062,17.708531094227887,2023-11-08 05:00:00+00:00,PCG
Train,17.749073028564453,17.708513348161205,2023-11-07 05:00:00+00:00,PCG
Train,17.747177124023438,17.70687727099837,2023-11-06 05:00:00+00:00,PCG
Train,17.74054718017578,17.704035413039918,2023-11-03 04:00:00+00:00,PCG
Train,17.73369598388672,17.699863373676596,2023-11-02 04:00:00+00:00,PCG
Train,17.724271774291992,17.697075827344626,2023-11-01 04:00:00+00:00,PCG
Train,17.722551345825195,17.695251813536462,2023-10-31 04:00:00+00:00,PCG
