,Feature,Importance
17,Expanding_Mean,0.075259194
16,Long_EMA,0.02676569
9,EMA,0.0071832947
3,Log_Close,0.0069504776
14,Moving_Average_15,0.0044459836
12,Moving_Average_10,0.0043854835
10,Short_EMA,0.004110025
1,Cumulative_Returns,0.0037204616
7,Moving_Average_3,0.003650294
5,Close_Cubed,0.0036082051
6,Close_Inverse,0.0034151517
15,Upper_Band,0.0032436817
11,Rolling_Mean,0.0031749462
13,Lower_Band,0.0029839494
2,Square_Root_Close,0.0019731997
4,Close_Squared,0.0017932102
0,Close,0.001678874
8,Moving_Average_5,0.0013158021
