,Close,Cumulative_Returns,Moving_Average_3,Square_Root_Close,Moving_Average_5,Close_Squared,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Log_Close,Moving_Average_15,Lower_Band,Close_Cubed,Long_EMA,Close_Inverse,Expanding_Mean,Price_RoC_60,Rolling_Std,Signal_Line,Price_RoC_45,MACD,Price_RoC_30,Gain,Cos_Close,Price_RoC_15,Loss,RSI,RS,Price_RoC_12,Price_RoC_10,Price_RoC_7,Sin_Close,Z_Score,Price_RoC_5,Price_RoC_3,Price_Delta,Log_Returns,Price_RoC,Std_Dev_RoC_5,Std_Dev_RoC_10,Tan_Close
0,0.12,0.12,0.11,0.06,0.1,0.24,0.07,0.02,0.07,0.06,0.06,0.04,0.04,0.14,0.36,0.04,0.12,0.01,,0.49,,0.76,,,1.99,6.53,,1.1,0.26,0.47,,,,,,,,,,,0.26,0.23,4.92
1,0.06,0.06,0.03,0.03,0.02,0.12,0.02,0.08,0.02,0.03,0.03,0.02,0.05,0.03,0.18,0.03,0.06,0.01,0.81,0.48,,,,,1.41,,,1.39,0.34,0.58,,,,,5.28,5.41,3.09,5.73,6.05,5.18,0.22,0.3,3.36
2,0.04,0.04,0.02,0.02,0.02,0.07,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.04,0.11,,0.04,,21.11,0.16,,,,,1.3,12.85,0.62,1.3,0.05,0.12,0.45,0.61,1.04,,1.06,1.15,4.82,,,,0.38,0.29,
3,0.07,0.07,0.06,0.03,0.05,0.14,0.03,0.01,0.02,0.02,0.02,0.03,0.01,0.05,0.2,0.01,0.07,,,0.28,,,,,1.62,,5.53,1.09,0.19,0.42,,,,,,,,,,,0.34,0.27,2.94
4,0.13,0.13,0.12,0.07,0.11,0.26,0.06,0.09,0.05,0.04,0.04,0.05,0.02,0.05,0.37,0.02,0.14,,,0.38,,,,1.32,1.33,6.38,,2.14,0.32,0.6,6.36,3.72,1.71,,3.06,1.62,2.11,2.69,2.94,2.75,0.63,0.42,8.99
5,0.05,0.05,0.05,0.03,0.05,0.1,0.05,0.03,0.05,0.06,0.06,0.02,0.07,0.1,0.15,0.04,0.06,,0.85,0.18,0.47,0.26,0.24,0.31,1.26,7.41,0.3,1.5,0.08,0.29,0.56,0.59,0.48,0.46,0.58,1.06,1.64,3.89,3.86,3.57,0.47,0.15,8.52
6,0.09,0.09,0.09,0.05,0.09,0.18,0.07,0.11,0.07,0.06,0.06,0.03,0.06,0.03,0.27,0.06,0.09,0.01,0.51,0.47,0.17,0.23,0.2,0.41,1.49,,0.29,1.93,0.05,0.17,0.36,0.49,0.57,,0.47,0.69,0.94,5.69,5.17,4.53,0.29,0.46,
7,0.05,0.05,0.06,0.03,0.07,0.11,0.03,0.05,0.03,0.04,0.04,0.02,0.01,0.04,0.17,,0.05,,0.23,0.16,0.24,0.25,0.52,0.69,1.57,,2.13,1.15,0.21,0.41,,,,4.75,,,,,,,0.47,0.23,
8,0.08,0.08,0.06,0.04,0.03,0.15,0.02,0.04,0.02,0.01,0.01,0.03,0.03,0.04,0.23,0.01,0.08,,0.3,0.36,0.48,0.23,1.01,0.95,1.27,,,1.62,0.38,0.68,,,4.21,41.5,5.62,2.95,3.71,10.09,10.44,7.92,0.42,0.18,
9,0.02,0.02,0.01,0.01,0.01,0.04,0.02,0.02,0.02,0.04,0.04,0.01,0.03,0.1,0.07,0.02,0.02,0.01,0.18,0.55,0.23,0.34,0.13,3.04,1.23,,0.34,2.15,0.09,0.31,0.65,0.82,1.32,,1.52,1.79,4.79,7.39,7.29,6.41,0.51,0.11,2.64
10,0.1,0.1,0.08,0.05,0.06,0.21,0.04,0.02,0.03,0.02,0.02,0.03,0.01,0.06,0.31,0.01,0.1,,0.72,0.24,0.28,1.31,0.9,0.9,2.48,,13.86,1.26,0.22,0.51,,,,,,,,,,,0.32,0.09,
11,0.09,0.09,0.05,0.05,0.03,0.2,0.03,0.08,0.03,0.04,0.04,0.03,0.04,0.05,0.32,0.02,0.08,,1.66,0.51,,,,,2.67,,,1.43,0.58,0.97,,,,1.21,,12.52,4.36,5.06,5.36,4.91,0.84,0.33,
12,0.07,0.07,0.08,0.03,0.1,0.13,0.09,0.08,0.09,0.12,0.12,0.02,0.09,0.21,0.2,0.06,0.07,0.01,0.27,0.25,1.03,0.32,0.49,0.32,0.77,,0.3,3.16,0.08,0.53,0.27,0.24,0.47,,0.22,0.67,0.92,0.78,0.81,0.81,0.4,0.24,
13,0.09,0.09,0.08,0.04,0.06,0.17,0.03,0.03,0.02,0.02,0.02,0.03,0.04,0.06,0.25,0.02,0.09,0.01,0.33,0.34,0.11,0.44,0.33,0.25,1.51,3.29,1.29,1.23,0.37,1.16,2.31,6.54,,,,,,,,,0.63,0.15,
14,0.07,0.07,0.06,0.03,0.05,0.14,0.04,0.06,0.04,0.05,0.05,0.02,0.05,0.05,0.21,0.02,0.07,,0.82,0.17,0.99,1.09,,0.8,1.07,1.57,,1.54,0.3,0.42,,,,10.16,,,,,,,0.31,0.36,
15,0.06,0.06,0.03,0.03,0.02,0.11,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.17,0.01,0.06,,2.28,0.13,,0.21,,,1.29,1.07,,1.69,0.13,0.27,,,,,,,,,,,0.32,0.07,
16,0.12,0.12,0.12,0.06,0.11,0.24,0.07,0.11,0.06,0.06,0.06,0.04,0.03,0.05,0.35,0.03,0.13,0.01,0.59,0.39,,7.02,12.2,,1.47,,1.55,2.21,0.2,0.41,1.16,1.28,1.0,,1.24,1.12,1.11,3.16,2.87,2.68,0.62,0.37,
17,0.04,0.04,0.03,0.02,0.04,0.08,0.04,0.02,0.04,0.05,0.05,0.01,0.06,0.09,0.11,0.04,0.04,0.01,0.36,0.22,0.33,1.1,0.15,0.3,1.28,0.77,0.28,2.33,0.08,0.26,0.48,0.66,0.52,5.13,0.45,1.09,1.45,2.57,2.54,2.48,0.17,0.11,1.69
18,0.1,0.1,0.12,0.05,0.14,0.2,0.12,0.14,0.11,0.12,0.12,0.03,0.1,0.13,0.29,0.09,0.11,0.02,0.18,0.3,0.31,0.33,0.28,0.27,0.84,10.33,0.22,3.16,0.1,0.8,0.21,0.23,0.37,2.75,0.32,0.46,0.64,0.89,0.94,0.96,0.28,0.14,8.13
19,0.08,0.08,0.06,0.04,0.06,0.16,0.07,0.07,0.07,0.06,0.06,0.02,0.08,0.05,0.23,0.07,0.08,0.02,0.29,0.15,0.08,0.14,0.05,0.17,1.54,1.99,0.31,1.84,0.1,0.44,0.36,0.33,0.33,3.21,0.46,0.78,1.05,4.82,4.81,4.23,0.3,0.21,4.3
20,0.07,0.07,0.07,0.04,0.05,0.15,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.23,0.03,0.07,0.02,0.15,0.11,0.11,0.14,0.28,0.24,1.5,1.28,0.98,1.2,0.17,0.41,1.76,3.1,,,,,,,,,0.32,0.35,
21,0.03,0.03,0.03,0.02,0.02,0.06,0.02,0.06,0.02,0.03,0.03,0.01,0.03,0.01,0.1,,0.03,0.01,0.09,0.38,0.41,0.16,0.68,0.92,2.09,,,0.97,0.25,0.36,,,,,,,,,,,0.27,0.35,4.47
22,0.06,0.06,0.04,0.03,0.02,0.13,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.2,0.01,0.06,0.01,0.25,0.28,0.74,0.49,4.73,,1.2,,41.42,1.93,0.16,0.37,34.56,3.98,3.19,,3.24,3.24,3.38,2.34,2.36,2.29,0.85,0.2,
23,0.07,0.07,0.08,0.04,0.07,0.15,0.04,0.02,0.03,0.03,0.03,0.02,0.01,0.05,0.23,0.02,0.07,0.01,0.33,0.15,3.25,,,,1.4,2.27,,1.41,0.1,0.2,,,,,,,,,,,0.5,0.14,
24,0.03,0.03,0.01,0.01,0.01,0.05,0.01,0.05,0.01,0.02,0.02,0.01,0.03,0.02,0.08,0.01,0.03,0.01,14.2,0.5,,,,,1.42,0.67,,1.74,0.21,0.36,,,,,,,9.88,7.36,7.38,6.63,0.37,0.16,
25,0.06,0.06,0.02,0.03,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.02,,0.03,0.18,0.01,0.07,,,0.34,,,,,1.52,1.34,,1.46,0.14,0.26,,,,2.49,,,,,,,0.31,0.09,
