,Feature,Importance
17,Expanding_Mean,0.08408687
4,Close_Squared,0.008497712
14,Moving_Average_15,0.007628657
16,Long_EMA,0.0071206563
0,Close,0.0062539876
9,EMA,0.0062399823
11,Rolling_Mean,0.005981013
5,Close_Inverse,0.0059080184
10,Short_EMA,0.0054724584
2,Square_Root_Close,0.005305427
8,Moving_Average_5,0.0045606024
3,Log_Close,0.004406534
7,Moving_Average_3,0.0042031514
1,Cumulative_Returns,0.0038069126
12,Moving_Average_10,0.0036253291
15,Upper_Band,0.003216521
13,Lower_Band,0.003204706
6,Close_Cubed,0.0017560847
