,Feature,Importance
16,Expanding_Mean,0.09298237
9,Short_EMA,0.0072565814
5,Close_Inverse,0.0072012185
4,Close_Squared,0.0070946454
7,Moving_Average_5,0.0061737597
2,Square_Root_Close,0.005636395
6,Moving_Average_3,0.005197662
11,Moving_Average_10,0.0047732024
8,EMA,0.0040694214
0,Close,0.0037514665
15,Long_EMA,0.0036385327
13,Lower_Band,0.0033467195
3,Log_Close,0.0027923796
14,Moving_Average_15,0.0027404546
1,Cumulative_Returns,0.0020793371
10,Rolling_Mean,0.0013694791
12,Upper_Band,0.0004282076
