,Feature,Importance
16,Expanding_Mean,0.096095756
4,Close_Squared,0.0072763795
5,Close_Inverse,0.0060491553
6,Moving_Average_3,0.0055839783
7,Moving_Average_5,0.0050916877
0,Cumulative_Returns,0.004892555
2,Square_Root_Close,0.004606324
11,Moving_Average_10,0.004016896
10,Rolling_Mean,0.0037767359
15,Long_EMA,0.003696955
13,Lower_Band,0.0033244514
14,Moving_Average_15,0.0028338532
12,Upper_Band,0.0025704114
1,Close,0.0024468713
3,Log_Close,0.002420531
9,Short_EMA,0.0017284285
8,EMA,0.0014312579
