,Feature,Importance
17,Expanding_Mean,0.061161578
15,Long_EMA,0.029480677
9,EMA,0.009831005
13,Moving_Average_10,0.008231289
16,Upper_Band,0.0075896108
10,Short_EMA,0.0073133544
6,Moving_Average_3,0.00727149
8,Moving_Average_5,0.006935575
3,Log_Close,0.005592585
0,Close,0.0049488777
11,Lower_Band,0.0048976094
2,Square_Root_Close,0.0044452706
5,Close_Inverse,0.003966756
12,Rolling_Mean,0.0031843558
4,Close_Squared,0.0030185487
14,Moving_Average_15,0.002618313
1,Cumulative_Returns,0.0024132445
7,Close_Cubed,0.0022447906
