,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Moving_Average_5,Close_Cubed,Close_Inverse,EMA,Rolling_Mean,Moving_Average_10,Short_EMA,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,RSI,Expanding_Mean,Price_RoC_15,Std_Dev_RoC_5,Price_RoC_12,Z_Score,Price_RoC_10,RS,Std_Dev_RoC_10,Price_RoC_7,Price_RoC_5,Price_RoC_3,Price_Delta,Log_Returns,Price_RoC,Loss,Gain,Tan_Close,Rolling_Std,Sin_Close,Cos_Close
0,0.02,0.02,0.01,0.04,,0.02,0.01,0.06,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.34,3.74,,,,0.12,,,0.34,,,,0.19,0.19,,,,,,123.33,1.52,1.25,3.41,0.11,,27.1
1,0.03,0.03,0.01,0.06,0.01,0.03,0.03,0.09,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.01,3.55,,,,,0.16,,,0.46,,,,0.26,0.14,,,,,,,1.0,2.18,,0.26,,13.87
2,0.03,0.03,0.02,0.07,0.01,0.03,0.02,0.1,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,,,,,0.1,,,0.26,,,,0.17,0.13,,,,,,,1.52,1.41,,0.21,,155.74
3,0.02,0.02,0.01,0.03,,0.01,0.01,0.05,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,,,,,,0.16,,,0.18,,,,0.26,0.21,,,4.57,19.83,20.07,16.82,2.09,1.35,6.84,0.4,,3.48
4,0.03,0.03,0.02,0.06,0.01,0.03,0.03,0.09,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.04,0.02,,,,,,0.18,,,0.25,,,,0.28,0.19,,,,,,,1.35,1.73,4.4,0.28,,
5,0.04,0.04,0.02,0.08,0.01,0.03,0.03,0.12,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.02,,,,,,0.19,,,0.17,,,,0.23,0.15,,,,,,,0.99,1.94,2.05,0.21,,
6,0.02,0.02,0.01,0.04,,0.01,0.02,0.05,0.02,0.02,0.03,0.03,0.02,0.06,0.03,0.01,0.02,,,,,,0.16,0.01,,0.27,,,,0.24,0.18,,,,,,,0.91,1.91,,0.4,13.11,2.29
7,0.02,0.02,0.01,0.04,,0.01,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.13,,2102.77,0.27,0.99,1.21,1.11,0.27,0.22,0.84,1.13,5.09,6.5,6.43,6.05,1.5,1.36,3.13,0.13,9.73,3.76
8,0.03,0.03,0.02,0.06,0.01,0.03,0.02,0.09,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,,,,,0.08,,0.45,0.29,0.36,0.89,0.72,0.18,0.1,0.79,1.0,1.58,2.97,2.97,2.91,1.64,1.31,8.72,0.23,,
9,0.02,0.02,0.01,0.04,,0.02,0.02,0.06,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.04,0.02,,2.12,0.59,0.24,0.13,0.07,,0.22,0.28,0.3,0.41,0.31,0.24,0.25,0.7,0.66,1.13,3.43,3.38,3.27,1.7,1.06,,0.28,,
10,0.03,0.03,0.01,0.05,,0.02,0.02,0.08,0.02,0.01,0.01,0.01,0.01,0.01,,0.02,,,0.29,0.22,0.57,0.39,0.22,,8.68,0.43,,,,0.45,0.18,,,,,,,1.0,2.1,,0.22,,
11,0.04,0.04,0.02,0.08,0.01,0.03,0.02,0.13,0.04,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,1.57,0.65,0.72,,2.91,0.1,,,0.41,,,,0.17,0.15,,,,,,,2.03,1.3,,0.49,51.92,6.03
12,0.02,0.02,0.01,0.05,,0.02,0.01,0.07,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.65,2.63,,,,0.14,,,0.28,,,,0.24,0.22,,,,,,,1.57,1.43,4.86,0.35,,
13,0.05,0.05,0.02,0.09,0.01,0.04,0.04,0.14,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.03,,,,,,0.36,,,0.14,,,,0.51,0.26,,,,,,,0.97,2.24,,0.09,,6.12
14,0.04,0.04,0.02,0.09,0.01,0.04,0.04,0.13,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,,,,,,0.15,,,0.26,,,,0.18,0.15,,,,,,,1.09,1.5,5.24,0.14,6.01,
15,0.02,0.02,0.01,0.05,0.01,0.01,0.01,0.07,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,,,,,,0.17,,,0.25,,,,0.25,0.23,,,,,,,1.09,1.78,3.34,0.19,18.74,
16,0.04,0.04,0.02,0.09,0.01,0.05,0.04,0.13,0.05,0.03,0.02,0.02,0.02,0.05,0.01,0.02,0.01,,,,,,0.16,,1.28,0.41,0.96,1.14,1.24,0.36,0.53,0.83,1.07,1.53,2.28,2.26,2.24,1.83,1.53,,0.44,,0.59
17,0.13,0.13,0.06,0.27,0.03,0.1,0.07,0.41,0.12,0.06,0.04,0.04,0.05,0.12,0.04,0.06,0.03,,,5.69,1.14,1.04,0.12,,0.69,0.55,0.59,0.91,0.87,0.46,0.52,1.32,1.28,1.31,2.17,2.23,2.21,1.99,1.52,,0.83,,
18,0.02,0.02,0.01,0.03,,0.01,0.02,0.05,0.02,0.04,0.06,0.06,0.04,0.04,0.06,0.17,0.04,0.45,0.18,0.25,0.07,0.1,0.04,,0.11,0.81,0.28,0.34,0.6,0.24,0.3,1.0,1.49,2.15,6.66,6.67,6.42,1.37,1.54,,0.67,4.21,4.37
19,0.03,0.03,0.01,0.05,,0.02,0.02,0.08,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.23,0.08,0.01,0.04,0.13,0.08,,0.67,0.35,0.31,0.41,0.43,0.44,0.59,0.31,0.76,1.09,2.16,2.16,2.14,2.54,1.13,19.53,0.19,75.77,23.91
