,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Upper_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Signal_Line,Price_RoC_30,MACD,RS,Price_RoC_15,Price_RoC_12,RSI,Price_RoC_10,Price_RoC_7,Std_Dev_RoC_10,Price_RoC_5,Std_Dev_RoC_5,Z_Score,Sin_Close,Rolling_Std,Price_RoC_3,Cos_Close,Gain,Tan_Close,Log_Returns,Price_RoC,Price_Delta,Expanding_Mean,Loss
0,0.11,0.11,0.06,0.03,0.22,0.12,0.33,0.11,0.09,0.07,0.06,0.06,0.06,0.14,0.04,0.02,0.04,,,,,,0.49,,,0.41,,,0.76,,0.56,,,0.68,,2.9,1.89,3.02,,,,0.01,1.18
1,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.01,0.03,0.03,0.04,0.04,0.03,0.06,0.09,0.03,,,,,,0.48,,,0.3,,,0.26,,0.33,,,0.62,,,1.46,1.86,,,,0.01,1.31
2,0.01,0.01,0.01,,0.03,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,,,,,,0.24,,,0.15,,,0.38,,0.2,,0.6,0.17,,,1.45,,,,,0.01,1.46
3,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,,,,,,0.39,,,0.19,3.08,8.46,0.11,11.72,0.44,5.29,3.4,0.16,5.75,,1.21,,4.12,3.92,4.09,0.01,2.37
4,0.04,0.04,0.02,0.01,0.08,0.04,0.13,0.06,0.05,0.04,0.04,0.04,0.04,0.06,0.03,0.04,0.03,,,,,,0.19,,,0.11,,,0.22,,0.32,,,0.3,,0.83,2.05,,,,,0.01,1.02
5,0.03,0.03,0.01,0.01,0.06,0.03,0.08,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.02,,,,,,,0.4,,7.65,0.22,1.24,1.2,0.27,1.13,0.2,0.86,1.58,0.21,1.33,0.43,1.48,2.98,5.09,4.83,5.07,0.01,1.77
6,0.04,0.04,0.02,0.01,0.07,0.04,0.11,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.01,,,,,,0.27,0.84,0.72,0.11,0.49,1.5,0.17,4.07,0.14,2.89,0.69,0.24,7.38,14.22,1.32,5.65,,116.32,,,1.28
7,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.01,,,,0.89,,0.43,,,0.26,,,0.39,,0.24,,8.94,0.11,,0.32,1.58,3.22,,,,0.01,1.17
8,0.03,0.03,0.02,0.01,0.06,0.03,0.1,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,,,,3.54,,0.62,,5.24,0.27,2.25,0.85,0.26,0.66,0.39,0.74,1.0,0.32,0.93,1.03,1.12,5.25,2.68,2.64,2.71,,1.55
9,0.05,0.05,0.02,0.01,0.09,0.05,0.13,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.06,0.03,0.89,0.23,0.76,0.43,0.46,0.26,0.22,0.24,0.06,0.28,0.34,0.08,0.52,0.29,0.35,,0.21,1.02,3.17,1.06,3.43,1.88,1.85,1.93,,1.98
10,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,,,,,0.02,0.02,0.01,0.01,0.11,0.33,0.05,0.16,0.18,0.44,0.76,1.48,0.19,3.18,,0.24,,0.45,,,0.37,,1.07,1.83,3.02,,,,,1.34
11,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.03,0.04,0.02,0.85,0.99,1.5,1.78,,0.61,,,0.41,,,0.25,,0.35,,0.53,0.3,,,1.74,3.31,,,,,1.17
12,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,,2.16,0.38,,,,0.47,,,0.25,1.06,1.74,0.33,3.43,0.36,2.12,0.21,0.1,4.5,,1.14,,5.82,5.52,5.81,,1.49
13,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.71,,,,,0.35,,,0.18,,,0.1,,0.26,,0.56,0.21,,1.86,2.66,2.5,,,,,0.96
14,0.02,0.02,0.01,0.01,0.04,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,,,,,0.3,,,0.19,,,0.25,13.01,0.38,,1.57,0.18,4.79,0.16,1.02,1.52,8.42,7.85,8.48,,1.8
15,0.06,0.06,0.03,0.02,0.12,0.06,0.18,0.05,0.05,0.03,0.03,0.03,0.03,0.06,0.01,0.01,0.02,,,,,,0.48,,,0.24,,,0.27,,0.21,,,0.45,,,1.89,1.55,,,,,1.14
16,0.05,0.05,0.02,0.01,0.09,0.05,0.14,0.05,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.04,0.01,,,,,,0.49,,7.13,0.27,2.83,0.98,0.41,1.25,0.33,1.27,,0.31,1.81,1.62,1.49,1.74,2.67,2.62,2.76,,1.61
17,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,,,3.08,0.74,0.61,0.32,0.34,0.63,0.11,0.52,0.68,0.39,1.45,0.24,0.8,0.61,0.12,2.36,10.8,1.61,,3.71,3.61,3.75,,1.38
18,0.04,0.04,0.02,0.01,0.08,0.04,0.12,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.02,1.92,0.58,0.22,0.66,0.26,0.3,0.6,0.37,0.11,0.57,1.33,0.31,1.38,0.4,1.13,3.65,0.36,1.16,,1.1,,1.81,1.8,1.78,,2.17
19,0.05,0.05,0.03,0.01,0.1,0.05,0.14,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.03,0.37,0.29,0.25,0.18,0.22,0.58,0.4,0.34,0.1,0.26,0.42,0.19,1.01,0.42,0.59,1.61,0.28,1.66,5.23,1.56,,3.11,3.02,3.15,,1.81
20,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.11,0.08,0.06,0.25,0.16,0.45,0.65,1.31,0.18,1.95,,0.26,,0.52,9.69,0.29,0.46,4.51,3.33,1.37,5.22,23.91,19.67,23.72,,2.02
21,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,,0.27,0.12,0.27,0.33,0.38,0.37,,,0.18,,,0.25,,0.31,,1.41,0.18,,0.82,1.34,2.81,18.94,16.2,18.28,,1.51
22,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,,0.35,0.29,0.23,4.62,0.6,0.22,2.64,4.24,0.1,7.11,,0.21,,0.43,,1.18,0.1,,2.14,1.72,,,,,,1.71
23,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.22,1.87,3.07,,,0.21,,,0.12,,,0.28,,0.4,,,0.5,,0.11,1.43,,,,,,2.11
24,0.05,0.05,0.02,0.01,0.09,0.04,0.14,0.04,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.04,0.01,0.17,,,5.76,,0.58,2.19,1.84,0.24,1.89,1.61,0.45,1.38,0.41,1.84,4.63,0.59,1.24,3.75,1.19,,2.0,1.99,1.97,,2.34
25,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,,0.01,0.01,0.01,0.01,0.03,0.01,,,1.04,0.74,0.31,1.1,0.07,0.25,0.16,0.24,0.08,0.31,0.83,0.11,1.82,0.53,1.03,0.64,0.17,,,2.0,,,,,,1.47
