,Feature,Importance
17,Expanding_Mean,0.093453966
10,Short_EMA,0.014851001
2,Square_Root_Close,0.008922556
11,Rolling_Mean,0.007902814
5,Close_Inverse,0.0052450066
6,Close_Cubed,0.0047657294
3,Log_Close,0.003413076
13,Upper_Band,0.003192567
7,Moving_Average_3,0.0030846726
4,Close_Squared,0.0024606958
16,Long_EMA,0.0024482084
14,Moving_Average_15,0.002309459
8,Moving_Average_5,0.002147003
9,EMA,0.0020544832
1,Cumulative_Returns,0.0018622437
0,Close,0.0014388945
15,Lower_Band,0.001014842
12,Moving_Average_10,0.00074816437
