,Feature,Importance
17,Expanding_Mean,0.07701318
15,Long_EMA,0.023121547
14,Moving_Average_15,0.008888131
12,Upper_Band,0.008831598
9,Rolling_Mean,0.0065590753
10,Moving_Average_10,0.0064476617
2,Square_Root_Close,0.006014149
0,Cumulative_Returns,0.0059295953
16,Lower_Band,0.005758243
5,Log_Close,0.005301454
3,Close_Squared,0.005028799
11,Close_Cubed,0.004967307
6,Moving_Average_5,0.0041435515
7,EMA,0.0031154663
8,Short_EMA,0.0028607715
4,Moving_Average_3,0.0022960224
13,Close_Inverse,0.002082454
1,Close,0.0020209993
