,Feature,Importance
17,Expanding_Mean,0.118713856
5,Close_Cubed,0.0070787063
6,Close_Inverse,0.00705543
15,Moving_Average_15,0.006432572
8,Moving_Average_5,0.005285533
9,EMA,0.0051358724
14,Upper_Band,0.0051103225
4,Close_Squared,0.004772885
13,Lower_Band,0.004507722
16,Long_EMA,0.0041282843
10,Short_EMA,0.0037333767
11,Rolling_Mean,0.0037296205
7,Moving_Average_3,0.0032019012
12,Moving_Average_10,0.0030343279
3,Log_Close,0.0029521962
2,Square_Root_Close,0.0021475796
0,Close,0.0020394076
1,Cumulative_Returns,0.0015556697
