,Feature,Importance
17,Expanding_Mean,0.07625256
14,Long_EMA,0.02158517
6,Close_Cubed,0.009555709
7,Close_Inverse,0.005415666
13,Upper_Band,0.005221448
10,Short_EMA,0.0048246323
5,Moving_Average_3,0.0047697527
12,Moving_Average_10,0.0045890794
16,Lower_Band,0.004525812
4,Log_Close,0.0040007425
2,Square_Root_Close,0.0036885366
9,EMA,0.0036518879
8,Moving_Average_5,0.003206545
11,Rolling_Mean,0.003184919
3,Close_Squared,0.0025356184
15,Moving_Average_15,0.002508836
0,Close,0.0020292636
1,Cumulative_Returns,0.0019335091
