,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Price_RoC_60,Upper_Band,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Std_Dev_RoC_10,Expanding_Mean,Std_Dev_RoC_5,Price_RoC_15,Price_RoC_12,Price_RoC_10,Rolling_Std,Price_RoC_7,Price_RoC_5,RSI,Gain,Price_RoC_3,Z_Score,Log_Returns,Price_Delta,Price_RoC,Sin_Close,Tan_Close,RS,Cos_Close,Loss
0,0.03,0.03,0.02,0.06,0.01,0.02,0.09,0.03,0.02,0.01,0.01,0.01,,,,0.01,0.18,0.01,0.17,0.18,0.25,0.24,0.85,0.01,0.18,,3.86,2.26,0.12,6.14,6.04,0.13,1.29,4.76,4.8,10.3,10.28,8.81,3.18,,0.27,3.7,1.44
1,0.02,0.02,0.01,0.05,0.01,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.1,0.02,0.13,0.56,1.4,,0.09,0.01,0.34,,,,0.21,,,0.15,1.66,,,,,,,2.9,0.24,,1.22
2,0.1,0.1,0.05,0.18,0.03,0.04,0.24,0.12,0.02,0.02,0.06,0.02,0.01,0.01,0.01,0.01,0.44,0.03,3.16,,,,0.35,,0.64,,,,0.58,,,0.23,2.03,,,,,,5.85,6.47,0.37,7.44,1.94
3,0.05,0.05,0.03,0.11,0.01,0.06,0.17,0.05,0.1,0.07,0.14,0.07,0.11,0.11,0.07,0.05,,0.17,,,,,0.33,0.01,0.51,,,,0.44,,,0.12,1.16,,,6.14,5.73,5.39,60.54,1.95,0.16,1.93,1.8
4,0.19,0.19,0.1,0.38,0.05,0.17,0.55,0.19,0.14,0.09,0.19,0.08,0.05,0.05,0.05,0.06,,0.05,,,,,0.11,0.01,0.67,,,,0.45,,,0.29,1.61,,,,,,,,0.55,,2.15
5,0.07,0.07,0.04,0.14,0.02,0.07,0.2,0.08,0.06,0.01,0.1,0.01,0.04,0.04,0.06,0.03,,0.12,,,,,0.29,0.01,0.3,,,,0.55,3.79,1.99,0.48,2.38,2.94,1.75,5.48,5.45,5.13,,,0.78,0.25,1.43
6,0.06,0.06,0.03,0.12,0.02,0.05,0.18,0.06,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.01,,0.05,,,,,0.6,0.01,0.56,0.38,0.48,0.64,0.51,1.05,1.02,0.1,1.44,0.91,0.59,2.73,2.85,2.67,15.03,3.8,0.38,1.16,1.99
7,0.03,0.03,0.01,0.06,0.01,0.02,0.09,0.03,0.01,0.02,0.06,0.02,0.03,0.03,0.03,0.01,,0.01,,,0.41,1.12,0.28,,0.26,0.38,0.55,0.97,0.37,1.93,3.85,0.12,1.6,,8.2,14.74,14.61,12.17,,,0.32,1.24,1.58
8,0.02,0.02,0.01,0.05,0.01,0.03,0.07,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,0.01,18.54,0.24,0.22,0.27,0.29,,0.47,0.63,0.94,1.12,0.16,0.92,0.8,0.06,0.87,0.77,0.4,1.21,1.21,1.21,0.84,,0.14,3.31,2.23
9,0.02,0.02,0.01,0.04,0.01,0.02,0.06,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,1.52,0.02,0.23,0.09,0.07,0.28,0.3,,0.29,0.4,0.4,0.33,0.11,0.3,0.82,0.1,1.12,1.52,0.53,4.71,4.71,4.55,,,0.38,,2.0
10,0.02,0.02,0.01,0.04,0.01,0.02,0.06,0.02,0.02,0.01,0.02,0.01,0.01,0.01,,,0.79,0.01,0.18,0.24,0.48,0.51,0.3,,0.22,108.76,,,0.16,,,0.18,2.02,,,,,,1.16,3.57,0.5,,1.38
11,0.01,0.01,0.01,0.02,,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.35,0.01,1.06,1.4,,,0.14,,0.18,,,,0.2,,,0.16,1.35,,,,,,0.4,3.3,0.25,0.79,1.24
12,0.02,0.02,0.01,0.03,,0.03,0.05,0.02,0.03,0.02,0.04,0.02,0.03,0.03,0.02,0.01,0.36,0.03,0.42,0.83,0.48,0.71,0.3,,0.31,0.34,0.29,0.29,0.32,0.82,1.41,0.06,1.43,2.04,1.16,3.53,3.59,3.46,,,0.17,1.93,1.26
13,0.03,0.03,0.02,0.07,0.01,0.03,0.1,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.01,,0.36,,4.54,0.36,1.07,1.07,0.26,,0.21,1701.19,,,0.36,,,0.37,1.16,,,,,,14.06,,0.79,,1.5
14,0.03,0.03,0.01,0.06,0.01,0.02,0.08,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,0.02,,,,,0.41,,0.46,,,,0.08,,,0.38,2.16,261.4,,20.22,19.7,17.12,2.8,4.47,0.63,1.81,1.08
15,0.06,0.06,0.03,0.13,0.02,0.06,0.19,0.07,0.05,0.03,0.05,0.03,0.02,0.02,0.01,0.02,,0.01,,,,,0.36,,0.45,,,,0.29,,,0.22,1.56,,,,,,4.26,,0.37,,1.43
16,0.06,0.06,0.03,0.13,0.02,0.06,0.2,0.06,0.06,0.05,0.08,0.05,0.07,0.07,0.06,0.04,,0.07,,,,,0.26,,0.34,,,,0.2,,,0.42,1.77,,,,,,1.3,4.75,0.49,,1.74
17,0.06,0.06,0.03,0.12,0.02,0.07,0.17,0.07,0.07,0.04,0.02,0.03,0.04,0.04,0.01,0.01,,0.08,,,,,0.31,,0.37,5.46,1.62,1.02,0.36,0.56,1.01,0.33,1.79,1.45,0.82,2.1,2.1,2.1,0.84,,0.7,,1.83
18,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.02,,,0.02,,,,,0.3,,0.92,0.9,1.75,3.53,0.78,,,0.32,2.33,,,,,,0.96,370.16,0.6,3.53,0.92
19,0.06,0.06,0.03,0.12,0.02,0.06,0.18,0.06,0.06,0.04,0.02,0.03,0.03,0.03,0.01,0.02,,0.05,,6.82,1.53,0.72,0.35,,0.4,1.45,1.31,1.22,0.37,1.12,1.08,0.21,1.09,0.9,1.13,1.92,1.97,1.89,,,0.39,3.09,2.39
20,0.04,0.04,0.02,0.08,0.01,0.02,0.12,0.04,0.01,0.02,0.04,0.02,0.02,0.02,0.03,0.02,1.61,0.02,0.85,0.18,0.1,0.54,0.15,,0.36,0.2,0.56,0.78,0.31,1.16,2.05,0.08,1.17,2.33,1.65,2.86,2.77,2.73,2.11,2.84,0.29,2.48,2.55
21,0.01,0.01,0.01,0.02,,0.01,0.03,0.01,0.02,0.02,0.07,0.02,0.03,0.03,0.02,0.02,0.46,0.02,0.21,0.09,0.05,0.15,0.31,,0.45,0.33,0.31,0.44,0.49,1.1,1.71,0.08,1.22,2.73,0.97,24.92,24.9,21.83,,,0.31,0.65,1.42
22,0.05,0.05,0.03,0.11,0.01,0.05,0.17,0.05,0.05,0.04,0.02,0.04,0.04,0.04,0.03,0.03,0.27,0.06,0.21,0.1,0.16,0.2,0.18,,0.25,0.4,0.55,0.59,0.42,0.54,0.38,0.11,1.41,1.44,0.47,3.09,3.27,2.99,2.67,15.01,0.34,,1.53
23,0.01,0.01,0.01,0.03,,0.01,0.04,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.02,0.19,0.01,0.12,0.03,0.07,0.22,0.08,,0.64,0.19,0.7,0.83,0.52,1.42,2.81,0.04,0.81,2.39,0.7,1.96,1.93,1.94,0.71,,0.12,1.7,2.6
24,0.01,0.01,0.01,0.02,,0.01,0.04,0.01,0.01,0.01,0.01,,,,,0.01,0.06,,0.13,0.17,0.29,0.13,0.23,,0.47,5.95,16.71,,0.21,,,0.23,2.95,,,,,,0.88,,0.43,0.74,0.8
25,,,,,,,0.01,,,,,,,,,,0.17,0.01,0.29,0.12,0.15,0.26,0.36,,0.09,,,,0.38,,,0.23,1.01,1.76,,5.39,5.4,5.34,1.28,1.28,0.31,0.02,2.0
