,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Lower_Band,Expanding_Mean
0,0.04,0.04,0.02,0.03,0.03,0.01,0.01,0.01,,,,0.01,0.04,,0.02
1,0.04,0.04,0.02,0.04,0.05,0.01,0.03,0.03,0.03,0.03,0.01,0.02,0.04,0.04,0.01
2,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.01,0.01
3,0.04,0.04,0.02,0.04,0.05,0.01,0.04,0.04,0.05,0.05,0.03,0.02,0.04,0.06,0.01
4,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.04,0.01,0.01
5,0.08,0.08,0.04,0.07,0.05,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.08,0.04,
6,0.04,0.04,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.04,0.03,
7,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.05,
8,0.02,0.02,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.02,0.01,
9,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.02,
10,0.04,0.04,0.02,0.04,0.04,0.01,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.03,
11,0.02,0.02,0.01,0.01,,,0.01,0.01,,,0.01,0.01,0.02,0.02,
12,0.03,0.03,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01
13,0.02,0.02,0.01,0.02,0.01,,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,
14,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01
15,0.02,0.02,0.01,0.01,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.01
16,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,,0.04,0.01,0.01
17,0.01,0.01,0.01,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,
18,0.01,0.01,,0.02,0.02,,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.04,
19,0.04,0.04,0.02,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.04,0.05,
20,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,
21,0.03,0.03,0.01,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,
22,0.08,0.08,0.04,0.09,0.09,0.02,0.06,0.05,0.05,0.05,0.03,0.03,0.09,0.05,
23,0.02,0.02,0.01,0.03,0.03,,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.05,
24,0.02,0.02,0.01,0.02,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,
25,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
26,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.03,
27,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.05,
28,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.01
29,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.04,0.01
30,0.04,0.04,0.02,0.04,0.04,0.01,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.01
31,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
