,Feature,Importance
17,Expanding_Mean,0.09078214
10,Short_EMA,0.008018782
8,Moving_Average_5,0.005983955
4,Close_Squared,0.0056538656
5,Close_Inverse,0.0054825298
16,Long_EMA,0.005041531
9,EMA,0.004041589
1,Close,0.0037093242
0,Cumulative_Returns,0.003403584
14,Lower_Band,0.0033237892
13,Upper_Band,0.0027395687
12,Moving_Average_10,0.002665848
6,Close_Cubed,0.0024415527
7,Moving_Average_3,0.0016489032
15,Moving_Average_15,0.0015808789
3,Log_Close,0.0015089519
2,Square_Root_Close,0.0014320435
11,Rolling_Mean,0.0011229276
