,Feature,Importance
16,Expanding_Mean,0.08850022
1,Close,0.0064361044
9,Short_EMA,0.005016554
15,Long_EMA,0.0050019487
13,Moving_Average_15,0.00462605
6,Moving_Average_3,0.0044855634
10,Rolling_Mean,0.0041594743
5,Close_Inverse,0.0030979028
12,Upper_Band,0.0030839178
2,Square_Root_Close,0.0026584007
14,Lower_Band,0.0025581415
0,Cumulative_Returns,0.0022996985
3,Log_Close,0.0019454621
11,Moving_Average_10,0.0018443596
8,EMA,0.001484219
4,Close_Squared,0.0014343357
7,Moving_Average_5,0.00087965577
