,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Price_RoC_60,Price_RoC_45,MACD,Signal_Line,Price_RoC_30,Price_RoC_15,Price_RoC_12,RSI,Price_RoC_10,Z_Score,Price_RoC_7,RS,Price_RoC_5,Std_Dev_RoC_10,Rolling_Std,Price_RoC_3,Gain,Price_RoC,Log_Returns,Price_Delta,Std_Dev_RoC_5,Tan_Close,Expanding_Mean,Cos_Close,Loss,Sin_Close
0,0.03,0.03,0.01,0.06,0.01,0.09,0.03,0.05,0.07,0.06,0.06,0.08,0.08,0.07,0.06,0.04,0.15,0.26,0.25,0.37,0.61,0.32,0.15,0.17,0.04,0.45,1.33,0.93,0.19,1.33,0.27,0.47,1.71,1.78,2.76,2.78,2.78,0.41,,0.01,9.04,1.49,5.2
1,0.02,0.02,0.01,0.05,,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.2,0.25,0.07,0.06,0.15,1.35,2.51,0.17,5.7,1.65,2.49,0.44,1.52,0.52,0.15,1.53,1.09,4.19,4.38,4.27,0.19,,0.01,,1.76,
2,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,,,,,,,,0.01,0.38,0.26,0.24,0.17,0.42,1.95,6.67,0.07,,,,0.14,,0.05,0.11,,1.71,,,,0.17,2.46,0.01,9.39,1.26,3.21
3,0.06,0.06,0.03,0.11,0.01,0.16,0.06,0.04,0.02,0.01,0.01,0.01,0.01,0.02,,0.01,0.03,0.45,0.26,0.6,0.19,89.44,,,0.17,38.55,,,0.27,,0.35,0.37,,2.24,,,,0.54,,,142.19,1.55,
4,0.11,0.11,0.05,0.23,0.02,0.37,0.09,0.06,0.05,0.03,0.03,0.05,0.05,0.07,0.04,0.02,0.06,0.93,,,,,,,0.53,,,,0.94,36.59,0.43,0.36,4.29,2.59,4.09,4.29,4.38,0.56,4.82,,9.23,1.51,5.25
5,0.02,0.02,0.01,0.04,,0.07,0.02,0.04,0.03,,,0.03,0.03,0.04,0.02,,0.1,0.72,,0.3,,,0.52,0.19,0.06,1.18,,3.02,0.13,8.4,0.34,0.41,,2.0,,,,0.52,10.14,,2.89,1.14,6.74
6,0.03,0.03,0.02,0.06,0.01,0.1,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,,10.03,1.09,,,,0.37,,,,0.72,,0.55,0.34,,1.99,,,,0.27,2.25,,,1.28,3.29
7,0.02,0.02,0.01,0.04,,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,,,,,,,,0.27,,,,0.36,,0.08,0.17,,1.79,,,,0.31,,,,1.2,3.56
8,0.02,0.02,0.01,0.04,,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,,1.22,,,,,2.6,0.17,1.12,0.8,0.24,0.34,1.09,0.17,0.09,1.42,1.15,5.61,5.95,6.0,0.21,,,,1.48,1.27
9,0.02,0.02,0.01,0.04,,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.03,27.16,,0.26,2.22,2.14,0.36,0.43,0.08,0.54,1.25,1.41,0.25,1.87,0.24,0.25,2.69,1.85,3.54,3.64,3.65,0.13,6.33,,,1.54,
