,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,RSI,Price_RoC_15,Price_RoC_12,RS,Price_RoC_10,Std_Dev_RoC_10,Price_RoC_7,Z_Score,Price_RoC_5,Price_RoC_3,Std_Dev_RoC_5,Sin_Close,Gain,Price_Delta,Price_RoC,Log_Returns,Rolling_Std,Expanding_Mean,Cos_Close,Loss,Tan_Close
0,0.02,0.02,0.01,0.04,,0.06,0.02,0.01,0.01,0.01,,0.01,,,,0.01,0.01,0.33,0.14,0.18,0.11,0.26,0.11,3.93,,0.23,15.92,0.59,3.56,3.46,8.0,3.65,0.3,,1.02,6.05,5.75,6.09,0.13,0.01,,1.39,
1,0.03,0.03,0.01,0.06,0.01,0.09,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.18,0.06,0.16,0.09,0.49,0.14,0.5,0.62,0.49,0.71,0.26,0.56,0.36,0.38,0.69,0.53,,1.0,2.15,2.19,2.21,0.16,0.01,5.84,2.05,2.09
2,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.04,0.03,0.18,0.25,0.07,0.22,0.19,0.29,0.26,0.34,0.46,0.51,0.87,1.54,0.31,,1.52,4.04,4.02,4.08,0.29,0.01,,1.53,6.91
3,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.02,0.01,0.03,0.01,0.01,0.01,,,0.01,0.27,0.2,0.5,0.52,0.46,0.34,6.46,,0.7,,0.47,,,,,0.18,,2.27,,,,0.44,,4.45,1.71,
4,0.05,0.05,0.02,0.09,0.01,0.13,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.25,1.16,,0.52,1.09,0.57,,,0.95,,0.32,3.22,3.15,2.14,2.11,0.57,,1.35,2.51,2.6,2.63,0.19,,,2.03,4.11
5,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.12,0.24,0.14,0.26,1.23,0.12,0.29,0.82,0.49,1.1,0.3,1.92,5.38,13.63,,0.53,,1.41,,244.0,,0.53,,1.38,1.66,
6,0.02,0.02,0.01,0.04,,0.06,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.19,0.03,0.12,0.34,0.67,0.11,1.26,1.83,0.25,1.26,0.61,2.4,1.68,1.83,2.44,0.27,,1.32,6.27,5.95,6.35,0.15,,1.87,1.58,33.68
7,0.02,0.02,0.01,0.04,,0.06,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.09,0.08,0.5,0.5,0.11,0.46,0.44,0.31,0.45,0.1,0.82,0.86,1.39,1.85,0.2,,1.37,3.46,3.44,3.5,0.25,,,1.24,14.93
8,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.12,0.1,0.11,0.2,0.31,0.1,0.27,0.49,0.3,0.48,0.27,0.4,0.49,0.7,1.52,0.31,,1.49,3.43,3.39,3.45,0.07,0.01,29.99,1.91,
9,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.13,0.07,0.21,0.22,0.29,0.16,0.67,0.98,0.53,1.59,0.22,9.48,,,,0.38,2.59,1.62,,,,0.31,,,1.12,
10,0.14,0.14,0.07,0.28,0.03,0.42,0.13,0.13,0.11,0.07,0.2,0.07,0.06,0.06,0.04,0.03,0.05,22.83,7.59,,,,0.48,,,0.74,,0.5,,,,,0.8,3.36,0.82,,,,0.72,,,2.53,
11,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.03,0.07,0.03,0.03,0.03,0.06,0.03,0.12,,,,,,0.54,,,0.86,,0.32,,,,,0.9,0.42,1.79,,,,1.09,,,1.21,
12,0.03,0.03,0.01,0.05,0.01,0.08,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.01,,0.03,,,,,,0.17,0.78,0.53,0.53,0.36,0.51,0.27,0.29,0.37,0.56,0.28,,0.77,2.15,2.08,2.12,0.2,,6.93,2.17,2.6
13,0.03,0.03,0.02,0.06,0.01,0.1,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,0.3,,,0.61,,0.31,,,,,0.48,4.71,2.28,,,,0.17,,,1.1,7.29
14,0.01,0.01,0.01,0.02,,0.04,0.01,0.01,0.01,,,,,,0.01,0.01,0.01,,,,,,0.4,,,0.58,,0.15,12.4,6.23,1.45,4.78,0.44,0.61,2.07,,,,0.31,,,1.3,7.91
15,0.02,0.02,0.01,0.04,,0.06,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.19,,,0.36,,0.16,,,,,0.29,2.73,1.8,,,,0.17,,1.41,1.25,4.44
