,Feature,Importance
17,Expanding_Mean,0.090610586
16,Long_EMA,0.0097008655
1,Close,0.00800563
6,Close_Inverse,0.0064168773
5,Close_Cubed,0.006269376
12,Moving_Average_10,0.0058561964
2,Square_Root_Close,0.0053185807
9,EMA,0.003879242
11,Rolling_Mean,0.0033741961
14,Lower_Band,0.0033609779
13,Moving_Average_15,0.0029469528
0,Cumulative_Returns,0.002543298
8,Moving_Average_5,0.0024621822
10,Short_EMA,0.0023716097
3,Log_Close,0.0016786235
7,Moving_Average_3,0.0016039762
15,Upper_Band,0.0015271837
4,Close_Squared,0.0014839575
