,Feature,Importance
17,Expanding_Mean,0.087704934
14,Long_EMA,0.022196516
15,Moving_Average_15,0.009977886
4,Log_Close,0.0075629773
10,Short_EMA,0.0066166534
3,Close_Squared,0.006472759
8,Close_Inverse,0.00562272
2,Square_Root_Close,0.0050135213
11,Rolling_Mean,0.0044713356
13,Upper_Band,0.0043771933
16,Lower_Band,0.0037886153
9,EMA,0.0036942556
6,Moving_Average_5,0.0036884423
12,Moving_Average_10,0.0035069815
0,Close,0.0033396096
5,Moving_Average_3,0.003099756
1,Cumulative_Returns,0.0030632028
7,Close_Cubed,0.0013787419
