,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Lower_Band,Expanding_Mean
0,0.01,0.01,,,0.01,0.01,,0.01,,,,,,,,,
1,0.01,0.01,0.01,,0.03,0.02,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.03,0.01
2,0.02,0.02,0.01,0.01,0.05,0.01,0.01,0.02,0.01,0.01,,,,,0.01,,
3,0.02,0.02,0.01,0.01,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,
4,0.02,0.02,0.01,,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
5,0.02,0.02,0.01,,0.04,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,,0.01,0.02,
6,0.02,0.02,0.01,,0.04,0.01,0.01,0.02,0.01,0.01,,0.01,0.01,,,0.01,
7,0.02,0.02,0.01,,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
8,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,
9,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
10,0.01,0.01,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
11,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,
12,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
13,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,,,,,,,0.01,0.01,
14,0.01,0.01,0.01,,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,
15,0.01,0.01,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,
16,0.01,0.01,,,0.02,,,0.01,,0.01,,,,,,0.01,
17,0.02,0.02,0.01,,0.04,0.01,0.01,0.02,0.01,,0.01,0.01,0.01,,0.01,0.01,
18,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,
19,0.02,0.02,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.01,0.01,,,,,0.02,
20,0.02,0.02,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.01,
21,0.02,0.02,0.01,,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,0.02,
22,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,,0.01,,,,,,0.01,
23,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
24,0.02,0.02,0.01,,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,
25,0.02,0.02,0.01,,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,
26,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,
27,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,,0.02,,0.01,0.01,,0.01,,
28,0.01,0.01,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
29,0.03,0.03,0.02,0.01,0.07,0.02,0.01,0.03,0.01,0.02,0.01,,,,,0.01,
30,0.03,0.03,0.02,0.01,0.07,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.02,0.03,0.05,
31,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.02,
