,Feature,Importance
16,Expanding_Mean,0.09442802
4,Close_Squared,0.009137353
6,Moving_Average_5,0.0058515514
9,Short_EMA,0.0050980956
14,Long_EMA,0.004985904
2,Square_Root_Close,0.004761166
13,Moving_Average_15,0.0041314564
15,Lower_Band,0.0034737159
10,Rolling_Mean,0.0033521783
11,Moving_Average_10,0.0030579432
0,Cumulative_Returns,0.0025368822
12,Upper_Band,0.0024602003
8,EMA,0.0024400738
5,Moving_Average_3,0.0020750065
7,Close_Inverse,0.0020243686
3,Log_Close,0.0018667519
1,Close,0.0016932574
