,Feature,Importance
17,Expanding_Mean,0.064094186
14,Long_EMA,0.01474676
3,Log_Close,0.004503417
6,Close_Inverse,0.0042903023
4,Close_Squared,0.0041677738
10,Short_EMA,0.0033098808
9,EMA,0.0026457214
11,Lower_Band,0.002400516
15,Moving_Average_15,0.0022116522
5,Close_Cubed,0.0020922788
13,Moving_Average_10,0.002021949
2,Square_Root_Close,0.0018122906
12,Rolling_Mean,0.0015418734
16,Upper_Band,0.0012186765
1,Cumulative_Returns,0.0011393072
8,Moving_Average_5,0.0009362054
0,Close,0.0009334677
7,Moving_Average_3,0.00069852703
