,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Short_EMA,Moving_Average_15,Upper_Band,Long_EMA,Price_RoC_45,Price_RoC_60,Signal_Line,Price_RoC_30,MACD,Price_RoC_15,RSI,Tan_Close,Price_RoC_12,Std_Dev_RoC_10,Price_RoC_10,Price_RoC_7,Z_Score,Price_RoC_5,RS,Expanding_Mean,Std_Dev_RoC_5,Price_RoC_3,Sin_Close,Gain,Log_Returns,Price_RoC,Price_Delta,Cos_Close,Loss,Rolling_Std
0,0.09,0.09,0.05,0.03,0.18,0.27,0.09,0.09,0.09,0.07,0.12,0.07,0.07,0.07,0.05,0.05,0.04,,,,,,,1.82,3.67,,0.25,,,,,1.82,0.01,0.23,,1.07,3.46,,,,,1.53,0.25
1,,,,,,,,0.01,0.02,0.03,0.03,0.04,0.04,0.03,0.05,0.09,0.03,,,,,,,0.21,,,0.22,,,,,0.23,0.01,0.33,,,,,,,,3.0,0.56
2,0.01,0.01,0.01,,0.02,0.03,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.01,,,,0.13,2.36,0.13,0.11,1.07,0.13,0.18,0.13,0.13,0.67,0.84,,,0.4,1.46,,2.24,3.67,3.58,3.72,,1.6,0.18
3,,,,,0.01,0.01,0.01,,0.01,,0.02,0.01,0.01,,0.01,0.02,,0.92,,0.32,0.08,0.22,0.85,0.41,,2.68,0.3,9.43,,,,0.59,,1.13,,0.41,,,,,,2.63,0.74
4,,,,,,,,,,,,,,,,,,,,0.11,,0.11,,0.34,,,0.66,7.02,2.07,0.24,1.56,0.44,,0.27,1.5,,3.0,3.0,3.0,3.0,,,0.16
5,,,,,,,,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,,,0.38,0.06,0.34,,,,,0.21,,,0.35,,,,0.11,,,1.73,1.73,1.73,1.73,,,0.21
6,0.03,0.03,0.02,0.01,0.07,0.1,0.03,0.03,0.03,0.03,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.23,0.18,0.35,0.28,0.24,0.26,,,0.32,0.13,0.4,0.23,0.31,0.74,,,0.58,1.61,1.92,3.16,3.16,3.16,3.16,1.34,,0.16
7,0.03,0.03,0.02,0.01,0.06,0.09,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.15,0.07,0.19,0.22,0.85,0.28,8.0,1.32,0.12,1.73,11.99,2751.6,,,,0.42,,0.63,1.6,,,,,2.14,0.24
8,0.12,0.12,0.06,0.04,0.25,0.37,0.12,0.1,0.09,0.06,0.15,0.05,0.05,0.05,0.04,0.03,0.03,4.38,5.39,1.26,158.68,,,0.47,1.32,,0.32,,,,,0.68,,0.64,,0.8,2.36,,,,1.34,2.43,0.55
9,0.01,0.01,,,0.01,0.02,0.01,0.01,0.01,0.03,0.06,0.04,0.04,0.03,0.06,0.12,0.03,,,,,,,0.34,,,0.24,,,,,0.56,,0.66,,,2.25,2.25,2.26,2.25,0.04,,0.93
10,0.04,0.04,0.02,0.01,0.08,0.12,0.04,0.03,0.03,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.02,,,,,,,0.67,1.27,,0.43,,,,,,,0.57,,,3.16,,,,1.82,1.9,0.67
11,0.03,0.03,0.02,0.01,0.07,0.1,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,,,,,,,1.05,2.8,,0.33,,,,,1.6,,0.58,11.77,,2.23,4.24,4.1,4.13,,3.1,0.33
12,0.02,0.02,0.01,0.01,0.04,0.06,0.02,0.01,0.02,0.02,0.07,0.03,0.03,0.02,0.02,0.02,0.01,,,,2.78,,0.33,0.08,8.31,0.16,0.33,0.42,0.99,0.72,1.46,0.27,,0.39,2.08,11.58,1.2,4.65,4.4,4.63,0.1,3.32,0.42
13,0.03,0.03,0.02,0.01,0.06,0.09,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,2.28,,0.42,0.46,0.39,1.47,0.35,3.44,2.63,0.29,5.84,34.07,,,1.3,,0.43,,2.36,3.32,,,,0.14,2.56,0.38
14,0.03,0.03,0.02,0.01,0.06,0.09,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,2.91,,1.18,0.78,,,0.55,,,0.18,,10.42,5.39,4.31,0.62,,0.53,2.66,,3.16,5.15,5.01,5.23,0.31,2.79,0.06
15,0.04,0.04,0.02,0.01,0.07,0.1,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.38,0.67,0.65,0.68,0.63,0.83,0.19,,0.45,0.56,0.18,0.91,0.73,1.01,0.49,,0.35,1.28,0.51,2.39,2.37,2.38,2.39,5.37,,0.32
16,0.02,0.02,0.01,0.01,0.04,0.06,0.02,0.01,0.01,,0.03,0.01,0.01,,0.01,0.01,0.01,0.65,0.27,0.09,0.64,0.24,0.42,0.29,,1.38,0.7,2.42,,14.06,,,,0.55,,0.07,3.0,,,,,2.14,0.59
17,0.02,0.02,0.01,0.01,0.05,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.19,0.2,0.09,0.26,0.24,1.07,0.11,19.93,1.26,0.18,1.11,0.93,0.67,0.94,0.22,,0.41,1.11,1.23,1.3,1.29,1.3,1.3,,,0.14
18,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.33,0.18,0.13,0.13,0.15,0.22,0.09,,0.25,0.14,0.37,0.35,0.33,0.54,0.48,,0.35,0.9,,2.01,2.39,2.39,2.37,,3.16,0.22
19,0.01,0.01,0.01,,0.03,0.04,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.23,0.05,0.22,0.03,0.19,0.08,,0.25,0.17,0.37,0.78,0.44,0.85,0.8,,0.26,1.39,,1.68,3.66,3.6,3.65,0.19,2.35,0.41
20,0.01,0.01,,,0.02,0.03,0.01,0.01,,,,,,,,,0.01,0.07,0.15,0.13,0.3,0.21,0.95,0.18,,2.32,0.17,11.56,104.75,,,0.46,,0.22,,,3.03,,,,0.09,1.88,0.16
21,0.01,0.01,,,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.35,0.31,0.4,1.38,0.81,,0.3,,,0.14,,,,,0.42,,0.46,,,2.32,,,,0.5,2.12,0.16
22,0.02,0.02,0.01,,0.03,0.05,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,0.84,0.25,,,,,0.34,,,0.23,,,,,0.49,,0.58,,,2.15,,,,,1.7,0.29
23,0.01,0.01,0.01,,0.03,0.04,0.01,0.01,0.01,0.01,,,,,,0.01,,1.53,0.16,,,,2.29,0.11,,1.22,0.2,1.39,0.38,0.33,0.36,0.24,,0.53,0.67,,2.0,2.0,2.0,2.0,0.61,,0.17
