,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Inverse,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,0.01,0.05,0.01,0.01,0.02,0.01,0.01,0.01,,,,0.01,,0.01
1,0.01,0.01,,,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01
2,0.03,0.03,0.02,0.01,0.07,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,
3,0.02,0.02,0.01,,0.04,0.01,0.01,0.02,,,,,,0.01,,0.01,
4,0.03,0.03,0.02,0.01,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.01
5,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.03,,0.01,0.01,0.01,0.01,0.01,,0.02,
6,0.02,0.02,0.01,,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
7,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
8,0.02,0.02,0.01,,0.04,0.02,0.01,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,
9,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,
10,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
11,0.02,0.02,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
12,0.05,0.05,0.03,0.01,0.1,0.05,0.04,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,
13,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
14,0.03,0.03,0.02,0.01,0.06,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
15,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.04,
16,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,,,,,,,
17,0.02,0.02,0.01,,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
18,0.02,0.02,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,
19,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
20,0.02,0.02,0.01,,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
21,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,
22,0.03,0.03,0.02,0.01,0.06,0.03,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.01,0.01,0.03,
23,0.02,0.02,0.01,0.01,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.03,
24,0.03,0.03,0.01,0.01,0.05,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.01,
25,0.03,0.03,0.01,0.01,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,
26,0.02,0.02,0.01,,0.04,0.02,0.01,0.02,0.01,0.01,,0.01,0.01,,0.01,0.02,
27,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.02,
28,0.03,0.03,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
29,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.04,
30,0.01,0.01,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
31,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.02,
