,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,EMA,Close_Inverse,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.08,0.08,0.04,0.05,0.01,0.02,0.07,0.02,0.01,0.01,,0.01,0.02,0.01
1,0.07,0.07,0.03,0.05,0.01,0.02,0.07,0.02,0.02,0.02,0.01,0.01,0.02,0.01
2,0.03,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0.02,0.02,0.01,,0.06,
3,0.02,0.02,0.01,0.01,,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,
4,0.03,0.03,0.01,0.04,0.01,0.03,0.03,0.03,0.04,0.04,0.02,0.02,0.05,0.01
5,0.1,0.1,0.05,0.09,0.02,0.05,0.1,0.04,0.03,0.03,0.03,0.03,0.02,0.01
6,0.04,0.04,0.02,0.03,0.01,0.01,0.04,0.02,0.03,0.03,0.04,0.02,0.08,0.01
7,0.02,0.02,0.01,0.01,,,0.02,,0.01,0.01,0.01,,0.01,0.01
8,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,
9,0.04,0.04,0.02,0.05,0.01,0.04,0.04,0.03,0.04,0.04,0.02,0.02,0.04,0.01
10,0.02,0.02,0.01,0.01,,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.03,0.01
11,0.03,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01
12,0.02,0.02,0.01,0.02,,0.01,0.02,0.01,0.01,0.01,,0.01,0.02,0.01
13,0.03,0.03,0.02,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,,
14,0.02,0.02,0.01,0.01,,0.01,0.02,,,,0.01,,0.01,
15,0.02,0.02,0.01,0.02,,0.01,0.02,0.01,0.01,0.01,,,,
16,0.06,0.06,0.03,0.06,0.01,0.05,0.06,0.04,0.05,0.05,0.03,0.03,0.03,0.01
17,0.07,0.07,0.03,0.06,0.01,0.03,0.07,0.02,0.02,0.02,0.02,0.01,0.05,
18,0.04,0.04,0.02,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.02,
19,0.06,0.06,0.03,0.05,0.01,0.03,0.05,0.02,0.02,0.02,0.02,0.01,0.01,
20,0.01,0.01,0.01,0.01,,,0.01,,0.01,0.01,0.01,,0.02,
21,0.09,0.09,0.05,0.1,0.02,0.08,0.09,0.07,0.08,0.08,0.05,0.04,0.06,0.01
22,0.04,0.04,0.02,0.02,0.01,0.03,0.04,0.03,0.03,0.03,0.05,0.03,0.04,0.01
23,0.04,0.04,0.02,0.04,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.02,
24,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,
25,0.06,0.06,0.03,0.05,0.01,0.03,0.06,0.03,0.03,0.03,0.02,0.02,0.06,
26,0.06,0.06,0.03,0.06,0.01,0.06,0.06,0.06,0.07,0.07,0.06,0.05,0.07,
27,0.03,0.03,0.02,0.04,0.01,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.03,
28,0.03,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.02,,0.01,
29,0.05,0.05,0.03,0.03,0.01,0.02,0.05,0.02,0.03,0.03,0.03,0.02,0.04,
30,0.03,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.01,,0.01,
31,0.03,0.03,0.01,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,
