,Feature,Importance
16,Expanding_Mean,0.08926158
14,Long_EMA,0.007853989
1,Close,0.007836123
3,Close_Squared,0.005652847
5,Close_Inverse,0.0052954084
13,Moving_Average_15,0.004871829
12,Upper_Band,0.0037093335
9,Short_EMA,0.0036924735
8,EMA,0.0035829705
10,Rolling_Mean,0.0035483614
11,Moving_Average_10,0.0035072956
0,Cumulative_Returns,0.0032889792
6,Moving_Average_3,0.0026704317
4,Log_Close,0.0026288917
15,Lower_Band,0.0023662327
7,Moving_Average_5,0.0016222354
2,Square_Root_Close,0.0010588473
