,Feature,Importance
16,Expanding_Mean,0.09765752
13,Upper_Band,0.0049979296
5,Close_Inverse,0.004896728
7,Moving_Average_5,0.0045511327
11,Moving_Average_10,0.003619536
15,Long_EMA,0.0028385024
1,Cumulative_Returns,0.0028122966
3,Close_Squared,0.0027216224
4,Log_Close,0.0026837809
9,Short_EMA,0.0026357996
8,EMA,0.0022543818
0,Close,0.0020305123
6,Moving_Average_3,0.0019842875
14,Moving_Average_15,0.0017184593
12,Lower_Band,0.0017140995
10,Rolling_Mean,0.0017036174
2,Square_Root_Close,0.0012905508
