,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.03,0.03,0.02,0.01,0.06,0.03,0.1,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,0.01,,0.02
1,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,,0.01,0.01,,,0.01,0.01,0.01,0.01,
2,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.02,0.01,0.01,,,0.01,,,,
3,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
4,0.02,0.02,0.01,0.01,0.04,0.02,0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
5,0.04,0.04,0.02,0.01,0.09,0.04,0.13,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.04,
6,0.02,0.02,0.01,0.01,0.04,0.02,0.07,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
7,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.02,0.01,0.01,0.01,0.01,0.02,,,,
8,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.04,
9,0.02,0.02,0.01,,0.03,0.02,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
10,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,
11,0.01,0.01,,,0.02,0.01,0.02,0.01,0.01,,,,,0.01,,,0.01,
12,0.01,0.01,0.01,,0.02,0.01,0.04,0.01,0.01,,,,,,,,,
13,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
14,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,
15,0.02,0.02,0.01,0.01,0.04,0.02,0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
16,0.02,0.02,0.01,,0.04,0.02,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
17,0.02,0.02,0.01,,0.04,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
18,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
19,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
20,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
21,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.02,
22,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
23,0.01,0.01,,,0.02,0.01,0.03,0.01,,,,,,0.01,,,,
24,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,0.03,
25,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.03,0.02,0.01,0.01,0.01,0.01,0.02,,,,
26,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.01,,,0.01,0.01,0.01,0.01,,0.02,
27,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,
28,0.01,0.01,0.01,,0.02,0.01,0.03,0.01,0.01,,,0.01,0.01,,,,0.01,
29,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
30,0.01,0.01,,,0.01,0.01,0.02,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
31,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
