,Feature,Importance
17,Expanding_Mean,0.09687839
12,Rolling_Mean,0.008943717
8,Moving_Average_5,0.007236451
4,Log_Close,0.006501141
6,Close_Inverse,0.005532728
16,Long_EMA,0.0055157486
7,Moving_Average_3,0.0046648155
1,Cumulative_Returns,0.0039771264
14,Moving_Average_15,0.0038139161
2,Square_Root_Close,0.0029983511
11,Short_EMA,0.0029707225
0,Close,0.0029321192
5,Close_Cubed,0.0025597562
3,Close_Squared,0.0025171845
13,Moving_Average_10,0.0021864632
15,Upper_Band,0.0018936954
9,EMA,0.0016388105
10,Lower_Band,0.0012250145
