,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Upper_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,,,,
1,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,
2,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
3,0.03,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,,0.02,0.01,
4,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.04,0.01,
5,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
6,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,,,,,0.01,0.01,
7,0.02,0.02,0.01,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,,,0.01,
8,0.03,0.03,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
9,0.01,0.01,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.04,
10,0.03,0.03,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,
11,0.03,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,,0.02,,
12,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,,0.01,0.02,
13,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,,,,,0.01,
14,0.05,0.05,0.03,0.01,0.03,0.02,0.06,0.01,0.01,0.01,0.01,,0.01,0.04,0.03,
15,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.04,
16,0.01,0.01,,,,0.01,0.01,,,0.01,0.01,0.01,,0.02,,
17,0.03,0.03,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,
18,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
19,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
20,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,0.01,,,
21,0.01,0.01,0.01,,0.02,0.03,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.05,0.03,
22,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
23,0.01,0.01,0.01,,0.01,,0.01,,,,,,0.01,,0.01,
24,0.01,0.01,,,,,0.01,,,0.01,0.01,,0.01,0.01,,
25,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.03,0.01,
26,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,0.01,0.02,
27,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,
28,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.01,
29,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,
30,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
31,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,
