,Feature,Importance
17,Expanding_Mean,0.09499909
6,Close_Inverse,0.010666879
7,Moving_Average_3,0.008159449
9,EMA,0.005384258
16,Long_EMA,0.004842671
2,Square_Root_Close,0.004275138
8,Moving_Average_5,0.003999679
10,Short_EMA,0.0038665147
12,Moving_Average_10,0.003535856
4,Log_Close,0.0034825876
0,Close,0.0033906202
11,Rolling_Mean,0.0032913839
1,Cumulative_Returns,0.003274398
14,Upper_Band,0.002664065
15,Moving_Average_15,0.0025311913
3,Close_Squared,0.001690571
5,Close_Cubed,0.001443663
13,Lower_Band,0.0010335806
