,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Upper_Band,Long_EMA,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,Price_RoC_15,Price_RoC_12,RSI,Price_RoC_10,Price_RoC_7,Std_Dev_RoC_10,Price_RoC_5,Z_Score,RS,Gain,Price_RoC_3,Price_Delta,Log_Returns,Price_RoC,Expanding_Mean,Rolling_Std,Sin_Close,Tan_Close,Std_Dev_RoC_5,Loss,Cos_Close
0,0.05,0.05,0.02,0.01,0.1,0.05,0.15,0.05,0.04,0.03,0.03,0.03,0.03,0.05,0.02,0.03,0.02,0.46,0.09,0.27,0.15,0.43,1.35,1.11,0.23,1.32,0.83,0.16,0.94,0.75,0.54,0.99,1.12,1.76,1.73,1.7,0.01,0.24,,3.54,0.3,1.85,
1,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.07,0.06,0.18,0.3,0.64,0.68,0.75,0.12,1.34,3.54,0.1,7.21,5.81,0.34,1.39,217.41,,,,0.01,0.27,,3.8,0.19,1.25,1.24
2,0.01,0.01,,,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.04,0.01,0.01,0.01,0.29,0.04,0.06,0.22,0.19,0.53,0.44,0.07,0.27,0.91,0.19,1.33,0.98,0.17,1.53,2.56,9.56,9.48,8.88,0.01,0.3,0.17,,0.28,1.5,
3,0.06,0.06,0.03,0.02,0.12,0.06,0.18,0.07,0.06,0.05,0.04,0.05,0.05,0.07,0.03,0.04,0.02,1.27,1.45,,6.17,,,,0.48,,,0.2,,,0.64,1.71,,,,,,0.14,,1.61,0.33,1.51,
4,0.06,0.06,0.03,0.02,0.12,0.06,0.18,0.05,0.04,0.02,0.02,0.03,0.03,0.02,0.04,0.05,0.02,,,,,,,,0.56,,27.08,0.47,3.18,3.7,0.81,1.48,1.9,3.59,3.63,3.5,,0.34,12.03,,0.38,1.86,
5,0.02,0.02,0.01,0.01,0.05,0.02,0.08,0.02,0.01,0.01,0.01,0.03,0.03,0.06,0.03,0.01,0.01,1.06,,,,,0.34,0.57,0.07,0.85,1.92,0.31,2.68,2.4,0.25,1.68,12.95,19.88,19.25,15.33,,0.37,1.57,4.31,0.11,1.64,
6,0.03,0.03,0.02,0.01,0.06,0.03,0.1,0.02,0.02,0.01,0.01,,,0.01,,0.01,,,0.5,0.83,,0.9,4.12,14.13,0.16,,,0.36,,,0.3,1.45,69.24,46.39,45.66,26.81,,0.14,2.58,1.52,0.39,1.99,
7,0.04,0.04,0.02,0.01,0.07,0.04,0.11,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,,,0.5,1.98,,1.18,,,0.16,,,0.11,15.52,17.47,0.3,1.35,11.42,,,,,0.11,3.41,1.75,0.22,1.45,
8,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,,0.75,0.7,0.25,1.15,0.77,1.23,0.1,0.88,0.75,0.18,0.72,0.64,0.24,1.02,1.82,3.04,2.99,2.86,,0.1,,7.61,0.21,1.76,
9,0.07,0.07,0.03,0.02,0.13,0.06,0.2,0.06,0.05,0.03,0.02,0.02,0.02,0.04,0.01,0.01,0.01,0.29,0.33,1.11,2.42,1.79,3.42,41.25,0.19,,,0.4,,,0.4,1.43,,,,,,0.22,0.67,3.29,0.39,1.55,
