,Feature,Importance
16,Expanding_Mean,0.09392075
15,Long_EMA,0.010297273
12,Moving_Average_15,0.00962923
11,Moving_Average_10,0.0065363497
5,Close_Inverse,0.006201753
10,Rolling_Mean,0.0056494917
6,Moving_Average_3,0.0036138613
4,Log_Close,0.0029745677
9,Short_EMA,0.0029129921
0,Close,0.0026563774
2,Square_Root_Close,0.0025590905
13,Upper_Band,0.0025378873
1,Cumulative_Returns,0.0025156657
14,Lower_Band,0.002242887
7,Moving_Average_5,0.0020486542
8,EMA,0.0020124167
3,Close_Squared,0.00084508455
