,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Inverse,Close_Cubed,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Price_RoC_60,Long_EMA,Lower_Band,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Expanding_Mean,Rolling_Std,RS,Std_Dev_RoC_10,Sin_Close,Price_RoC_15,Cos_Close,Price_RoC_12,RSI,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,Price_RoC_5,Gain,Z_Score,Price_RoC_3,Price_Delta,Price_RoC,Log_Returns,Loss,Tan_Close
0,0.03,0.03,0.02,0.01,0.06,0.02,0.03,0.09,0.02,0.01,0.02,0.01,0.01,0.01,0.01,3.79,,0.03,0.43,,,,,0.23,0.52,0.3,0.15,,,,0.29,5.57,0.23,2.02,1.66,1.33,1.41,1.91,4.35,4.04,4.3,1.69,
1,0.03,0.03,0.01,0.01,0.06,0.02,0.03,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.41,,0.01,,,7.25,,,0.11,0.2,0.09,0.26,0.56,,1.01,0.09,1.61,0.24,1.43,1.99,1.6,1.39,2.59,7.71,7.28,7.93,1.15,
2,0.03,0.03,0.01,0.01,0.05,0.02,0.03,0.08,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.34,0.01,0.03,,0.46,0.27,0.39,,0.14,0.26,0.08,4.47,0.37,,0.52,0.09,0.36,0.41,0.7,0.82,1.32,0.89,2.71,26.13,19.12,24.87,1.4,
3,0.02,0.02,0.01,0.01,0.04,0.02,0.02,0.06,0.03,0.02,0.03,0.01,0.02,0.02,0.01,,,0.02,2.18,0.41,1.13,0.74,,0.2,0.33,0.18,0.29,,,,0.18,,0.51,,,1.63,,,,,,1.23,
4,0.03,0.03,0.01,0.01,0.05,0.03,0.03,0.08,0.02,0.02,0.01,0.02,0.02,0.02,0.02,,0.01,0.03,2.2,,,,,0.26,0.22,0.34,0.14,,,,0.15,,0.23,,,1.43,,,,,,1.02,
5,0.03,0.03,0.01,0.01,0.05,0.02,0.03,0.08,0.01,0.01,0.02,0.01,0.01,0.01,0.02,,0.01,0.02,,,,,,0.31,0.25,0.15,0.03,,,,0.15,,0.41,,,1.3,,,,,,1.2,3.9
6,0.05,0.05,0.03,0.02,0.1,0.05,0.05,0.16,0.05,0.03,0.05,0.03,0.03,0.03,0.02,2.37,0.01,0.01,,,,,,0.28,0.61,0.48,0.49,0.93,,1.02,0.18,0.89,0.64,0.75,0.41,0.91,0.49,0.35,1.32,1.34,1.34,1.98,
7,0.03,0.03,0.02,0.01,0.06,0.03,0.03,0.09,0.02,0.01,,0.01,0.01,0.01,0.02,1.7,0.01,0.02,,0.19,0.23,0.44,,0.17,0.87,0.17,0.6,0.51,,0.92,0.16,1.87,0.43,,,1.64,,,,,,1.14,
8,0.07,0.07,0.04,0.03,0.14,0.06,0.07,0.21,0.04,0.03,0.06,0.03,0.02,0.02,0.01,4.6,0.02,0.02,0.88,0.21,0.49,0.56,,0.46,0.54,0.44,,1.65,,1.67,0.22,1.25,0.43,1.08,1.32,1.19,1.24,1.94,2.48,2.48,2.59,2.84,4.92
9,0.02,0.02,0.01,0.01,0.04,0.01,0.02,0.06,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.2,0.02,0.08,0.12,0.14,0.06,0.27,,0.63,0.23,0.26,,0.18,,0.45,0.06,0.7,0.55,1.18,1.44,1.46,1.01,3.35,5.53,5.3,5.57,1.47,0.69
10,0.05,0.05,0.03,0.02,0.1,0.04,0.05,0.15,0.03,0.03,0.05,0.03,0.02,0.02,0.02,0.3,0.02,0.02,0.14,0.05,0.14,0.31,,0.43,0.29,0.2,,0.71,4.73,0.79,0.13,0.99,0.29,1.01,1.12,1.68,1.59,1.97,4.87,4.8,5.1,1.2,8.32
11,0.03,0.03,0.02,0.01,0.06,0.04,0.03,0.09,0.04,0.02,0.04,0.02,0.02,0.02,,0.1,,0.02,0.31,0.34,0.76,0.9,,0.25,0.4,0.24,,,,,0.22,,0.54,,,1.84,,,,,,1.04,1.31
12,0.02,0.02,0.01,0.01,0.04,0.01,0.02,0.07,0.01,0.01,,0.01,,,0.01,0.42,,0.01,0.24,0.91,,,,0.14,0.32,0.32,,,,,0.2,,0.36,,,1.56,,,,,,1.06,0.57
13,0.07,0.07,0.04,0.03,0.15,0.07,0.07,0.22,0.07,0.05,0.03,0.05,0.05,0.05,0.04,,0.03,0.09,,,,,,0.27,0.64,0.22,1.27,,,,0.5,,0.29,,,3.32,,,,,,0.96,
14,0.03,0.03,0.02,0.01,0.06,0.02,0.03,0.09,0.02,0.03,0.05,0.03,0.03,0.03,0.04,,0.03,0.01,,,,,,0.28,0.75,0.41,0.03,,,,0.59,,0.34,,,1.08,,,,,,1.7,3.62
15,0.03,0.03,0.02,0.01,0.06,0.03,0.03,0.1,0.03,0.03,0.02,0.03,0.02,0.02,0.02,,0.03,0.03,,,,,,0.16,0.29,0.22,0.08,,0.62,,0.19,,0.5,,,1.82,,,,,,1.55,
16,0.06,0.06,0.03,0.02,0.11,0.05,0.06,0.17,0.05,0.03,0.07,0.03,0.03,0.03,0.01,,0.01,0.03,,,,,,0.51,0.54,0.4,0.09,3.27,,1.42,0.34,1.19,0.49,0.76,1.23,1.14,0.92,1.65,3.76,3.33,3.6,2.11,
17,0.04,0.04,0.02,0.02,0.08,0.04,0.04,0.11,0.04,0.03,0.03,0.03,0.03,0.03,0.04,,0.02,0.03,,2.45,0.5,0.51,,0.1,0.21,0.09,0.46,0.3,,0.52,0.08,0.54,0.24,0.78,1.23,2.58,0.77,2.27,5.82,5.45,5.89,1.47,
18,0.05,0.05,0.02,0.02,0.1,0.04,0.05,0.14,0.04,0.04,0.05,0.03,0.03,0.03,0.03,,0.03,0.02,0.45,0.24,0.2,0.32,,0.34,0.4,0.15,,0.36,,0.32,0.1,0.46,0.43,0.47,0.44,1.1,0.33,0.39,1.6,1.59,1.6,2.05,1.35
19,0.12,0.12,0.06,0.04,0.23,0.13,0.13,0.32,0.13,0.11,0.16,0.1,0.1,0.1,0.08,0.49,0.08,0.06,0.35,0.35,0.35,0.2,0.01,0.42,0.4,0.35,2.38,0.34,,0.31,0.04,0.34,0.52,0.38,0.54,1.11,0.3,0.85,1.26,1.29,1.27,2.15,7.9
20,0.07,0.07,0.04,0.03,0.15,0.07,0.07,0.22,0.05,0.02,0.02,0.02,0.02,0.02,0.04,0.22,0.02,0.08,0.2,0.09,0.28,0.29,0.01,0.4,1.11,0.44,0.6,0.83,4.28,1.68,0.34,3.35,0.44,,,1.8,,,,,,1.32,
21,0.03,0.03,0.02,0.01,0.06,0.03,0.03,0.1,0.03,0.03,0.07,0.03,0.04,0.04,0.04,0.09,0.01,0.01,0.16,0.5,1.14,0.33,,0.33,0.46,0.61,,,0.23,,0.38,,0.2,,,2.06,,,,,,0.91,
22,0.04,0.04,0.02,0.02,0.08,0.03,0.04,0.12,0.02,0.01,0.01,0.01,0.01,0.01,,0.24,0.01,0.02,0.31,1.14,,,,0.23,0.17,0.11,,,0.28,,0.09,225.16,0.66,,,1.57,,,,,,1.76,
23,0.03,0.03,0.01,0.01,0.06,0.02,0.03,0.09,0.01,0.02,0.04,0.02,0.02,0.02,0.02,0.23,0.01,0.01,16.77,,,,,0.29,0.23,0.48,,,0.76,,0.14,,0.36,,,1.38,,,53.83,28.11,53.61,1.73,
24,0.04,0.04,0.02,0.01,0.07,0.04,0.04,0.1,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.17,0.01,0.03,,,,2.36,,0.29,0.25,0.2,,1.03,0.19,0.67,0.1,0.65,0.23,0.68,0.87,1.15,0.54,1.1,2.54,2.46,2.52,1.87,
25,0.01,0.01,,,0.01,0.01,0.01,0.02,,,0.01,,,,0.01,35.23,,0.01,,0.19,0.07,,,0.21,0.16,0.18,,0.2,0.02,0.52,0.06,1.27,0.49,,,2.0,,,,,,1.11,
