,Feature,Importance
16,Expanding_Mean,0.08722074
15,Long_EMA,0.016091788
1,Cumulative_Returns,0.0072715944
2,Square_Root_Close,0.007116393
0,Close,0.0059517375
14,Moving_Average_15,0.005239821
3,Close_Squared,0.0043599745
7,Moving_Average_5,0.0041384585
5,Close_Inverse,0.0039927335
8,EMA,0.0039878916
6,Moving_Average_3,0.0035721795
10,Rolling_Mean,0.002957456
13,Upper_Band,0.0019464034
12,Lower_Band,0.0016513402
9,Short_EMA,0.0015504818
11,Moving_Average_10,0.0012051017
4,Log_Close,0.0011327348
