,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Close_Squared,Moving_Average_5,Close_Inverse,Close_Cubed,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Expanding_Mean,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Rolling_Std,Price_RoC_15,Price_RoC_12,Price_RoC_10,Price_RoC_7,Gain,Price_RoC_5,RSI,Cos_Close,Price_RoC_3,RS,Z_Score,Price_Delta,Std_Dev_RoC_5,Price_RoC,Log_Returns,Loss,Std_Dev_RoC_10,Sin_Close,Tan_Close
0,0.09,0.09,0.05,0.09,0.02,0.18,0.09,0.1,0.26,0.06,0.06,0.07,0.07,0.07,0.04,0.04,0.11,0.65,0.01,0.25,0.81,0.87,0.72,0.48,1.08,0.81,0.84,0.96,1.99,1.26,0.22,,1.63,0.47,0.87,3.48,0.34,3.26,3.34,1.83,0.54,,2.75
1,0.04,0.04,0.02,0.04,0.01,0.08,0.04,0.04,0.13,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.13,0.01,0.16,0.13,0.09,0.4,0.23,0.47,0.52,0.69,0.71,1.51,0.46,0.11,,0.99,0.29,0.58,3.41,0.56,3.37,3.48,1.41,0.26,9.96,3.07
2,0.03,0.03,0.01,0.02,0.01,0.05,0.02,0.03,0.08,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.23,0.01,0.28,0.08,0.22,0.09,0.19,0.69,1.06,2.02,,2.14,,0.13,5.76,,0.36,,,0.32,,,0.95,0.26,2.79,
3,0.04,0.04,0.02,0.04,0.01,0.09,0.04,0.04,0.13,0.03,0.02,0.02,0.02,0.05,0.02,0.01,0.01,0.4,,0.2,0.47,1.45,2.07,0.36,,,,,1.81,,0.42,6.16,,0.66,,,0.26,,,1.22,0.44,,1.7
4,0.07,0.07,0.03,0.06,0.01,0.13,0.05,0.07,0.19,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.05,0.55,0.01,0.4,,,,0.39,,4.34,2.46,1.27,1.29,1.04,0.39,471.74,1.16,0.78,1.43,2.08,0.32,2.06,2.08,1.85,0.67,,
5,0.08,0.08,0.04,0.1,0.02,0.16,0.11,0.08,0.23,0.07,0.06,0.07,0.07,0.11,0.03,0.04,0.06,1.74,,,,,,0.2,,,,,,,0.33,,,0.44,,,0.61,,,1.55,0.23,6.4,3.21
6,0.05,0.05,0.02,0.04,0.01,0.09,0.03,0.05,0.14,0.01,0.02,0.02,0.02,0.02,0.05,0.02,0.06,,,,,,,0.39,,,,19.62,1.21,3.01,0.6,,1.75,0.82,2.66,3.31,0.44,3.18,3.28,1.65,0.24,1.95,
7,0.04,0.04,0.02,0.04,0.01,0.08,0.04,0.04,0.11,0.03,0.02,0.02,0.02,0.03,,0.02,0.02,,,,,,,0.18,,,,,3.16,,0.26,3.15,,0.41,,,0.62,,,0.75,0.23,9.18,3.0
8,0.05,0.05,0.02,0.04,0.01,0.09,0.02,0.05,0.14,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,,,,,,,0.35,,,,4.09,1.15,2.12,0.54,2.98,1.97,0.83,4.87,2.94,0.47,2.92,3.04,2.2,0.36,6.18,
9,0.02,0.02,0.01,0.01,,0.04,0.01,0.02,0.05,,0.01,0.02,0.02,0.05,0.01,,0.02,,,,,,,0.52,0.4,0.43,0.93,2.17,1.69,5.09,0.07,6.71,,0.21,4.79,13.18,0.49,11.73,13.49,1.61,0.4,,2.56
10,0.06,0.06,0.03,0.05,0.01,0.12,0.04,0.06,0.19,0.02,0.02,0.01,0.01,0.04,0.01,0.01,0.01,,,7.16,,,1.76,0.24,,,,,2.15,,0.23,12.58,,0.56,,,0.32,,,1.31,0.13,7.51,
