,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Expanding_Mean,Price_RoC_30,RSI,Price_RoC_15,RS,Price_RoC_12,Price_RoC_10,Z_Score,Price_RoC_7,Price_RoC_5,Price_RoC_3,Gain,Rolling_Std,Std_Dev_RoC_10,Price_Delta,Price_RoC,Log_Returns,Cos_Close,Tan_Close,Std_Dev_RoC_5,Loss,Sin_Close
0,0.04,0.04,0.02,0.01,0.08,0.04,0.13,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.02,0.05,,,,1.42,,,0.19,,0.29,,,,,,,1.9,0.23,0.12,,,,,,0.34,2.16,
1,0.04,0.04,0.02,0.01,0.09,0.04,0.13,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,0.02,,,,,,,0.25,,0.52,,54.07,10.65,5.21,4.11,4.92,1.42,0.33,0.17,3.79,3.69,3.89,,3.18,0.48,1.52,
2,0.04,0.04,0.02,0.01,0.07,0.04,0.11,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.01,,0.01,1.47,,3.1,,,,0.09,0.79,0.2,0.75,0.67,13.58,4.12,9.66,,1.53,0.13,0.16,,,,,1.99,0.28,1.51,6.43
3,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.01,0.01,,,0.01,0.01,0.01,0.01,,0.02,,,1677.74,,,0.87,0.21,7.67,0.36,,,5.27,4.72,4.14,2.64,1.83,0.25,0.14,8.16,7.54,8.39,,1.2,0.23,1.63,
4,0.07,0.07,0.03,0.01,0.13,0.07,0.2,0.06,0.06,0.04,0.04,0.04,0.04,0.01,0.03,0.02,0.07,,0.9,0.75,1.13,,0.53,0.13,0.63,0.46,0.74,0.75,0.61,0.69,0.72,1.25,1.3,0.39,0.31,2.14,2.15,2.18,,3.34,0.3,1.22,5.55
5,0.07,0.07,0.04,0.01,0.14,0.08,0.21,0.05,0.03,0.02,0.02,0.02,0.02,0.05,0.03,0.02,0.03,0.55,0.14,0.29,0.4,,0.52,0.23,0.84,0.53,1.5,2.05,11.24,17.32,,,1.38,0.34,0.55,,,,,3.16,0.66,2.27,3.27
6,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.04,0.04,0.02,0.02,0.02,0.02,0.06,,0.01,0.02,0.27,0.06,0.17,0.3,,0.25,0.08,10.84,0.17,3.48,2.34,1.24,2.38,2.53,1.65,0.91,0.28,0.27,3.04,2.79,2.97,4.19,4.37,0.37,2.62,
7,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.02,0.01,,,,,0.01,0.01,0.01,,0.23,0.08,0.23,0.22,,0.94,0.19,1.18,0.55,1.56,2.08,6.65,5.39,6.44,7.74,1.35,0.07,0.13,,,,,,0.23,1.07,1.29
8,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.19,0.37,0.66,0.22,,2.19,0.16,,0.27,,,,,,50.84,2.41,0.07,0.16,9.16,8.49,9.2,,,0.29,1.47,1.51
9,0.04,0.04,0.02,0.01,0.07,0.04,0.11,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,0.27,0.2,0.68,2.7,,2.61,0.11,2.98,0.25,1.42,2.69,,51.4,,,1.36,0.1,0.21,,,,3.14,,0.49,1.51,
