,Feature,Importance
17,Expanding_Mean,0.08833043
3,Log_Close,0.011030164
9,EMA,0.009046476
5,Close_Cubed,0.0050876327
7,Moving_Average_3,0.004878089
11,Rolling_Mean,0.0041905567
6,Close_Inverse,0.0040547336
12,Moving_Average_10,0.0038558743
8,Moving_Average_5,0.0038289435
4,Close_Squared,0.0032889321
10,Short_EMA,0.003073918
15,Long_EMA,0.003049404
16,Lower_Band,0.0026859199
13,Upper_Band,0.0025667134
0,Close,0.0025053462
14,Moving_Average_15,0.0019275453
1,Cumulative_Returns,0.0017783837
2,Square_Root_Close,0.0013110391
