,Feature,Importance
17,Expanding_Mean,0.09150037
16,Long_EMA,0.010653023
7,Moving_Average_3,0.0062639923
6,Close_Inverse,0.0050784885
9,EMA,0.0041006017
14,Moving_Average_15,0.003951525
4,Log_Close,0.003930186
8,Moving_Average_5,0.0036596577
12,Moving_Average_10,0.0033900638
3,Close_Squared,0.0033346824
10,Short_EMA,0.0032889612
5,Close_Cubed,0.0032179959
13,Lower_Band,0.0030161797
11,Rolling_Mean,0.003000665
15,Upper_Band,0.0023237325
1,Cumulative_Returns,0.0019957242
0,Close,0.0016233424
2,Square_Root_Close,0.00067310326
