,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Lower_Band,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,Price_RoC_15,Price_RoC_12,Expanding_Mean,Price_RoC_10,Price_RoC_7,Price_RoC_5,RSI,Price_RoC_3,Rolling_Std,RS,Gain,Z_Score,Sin_Close,Price_Delta,Log_Returns,Price_RoC,Loss,Std_Dev_RoC_5,Cos_Close,Tan_Close,Std_Dev_RoC_10
0,0.03,0.03,0.02,0.01,0.07,0.05,0.1,0.03,0.06,0.04,0.04,0.06,0.06,0.05,0.03,0.06,0.13,0.25,0.56,0.31,0.22,0.16,0.25,0.22,0.01,0.53,1.29,1.88,0.07,2.29,0.4,0.25,1.98,1.82,,3.28,3.26,3.21,1.61,0.5,3.63,,0.29
1,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.03,0.02,0.02,0.04,0.04,0.03,0.01,0.06,0.03,1.26,0.63,1.74,0.95,0.37,,,,,,,0.25,,0.29,0.43,1.51,,,,,,2.9,0.39,,3.53,0.41
2,0.05,0.05,0.03,0.01,0.1,0.03,0.15,0.05,0.02,0.01,0.01,0.01,0.01,,,0.02,0.03,0.86,0.23,1.26,0.51,2.14,,2.61,,2.5,6.88,,0.3,,0.36,0.87,2.48,9.99,,,,,1.72,0.73,2.47,,0.1
3,0.02,0.02,0.01,,0.03,0.01,0.05,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0.06,0.02,,,,1.75,,,,,,,,0.21,,0.49,0.3,1.36,,22.55,132.46,130.04,69.53,1.51,0.45,,,0.47
4,0.08,0.08,0.04,0.02,0.18,0.03,0.28,0.07,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.03,1.42,,,,,,3.42,,3.1,3.31,4.3,0.32,4.22,0.69,0.77,2.59,4.69,,3.69,3.75,3.64,1.45,0.77,1.12,3.83,0.46
5,0.08,0.08,0.04,0.02,0.15,0.06,0.22,0.08,0.05,0.02,0.02,0.03,0.03,0.02,0.01,0.03,0.06,2.14,0.84,0.46,2.16,0.97,0.9,0.63,,1.19,3.13,6.63,0.16,,0.13,0.36,3.16,28.24,,,,,1.37,0.45,,1.88,0.16
6,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.01,0.01,0.01,0.03,0.03,0.03,0.01,0.09,0.04,,,,,1.26,,,,,,,0.49,3.2,0.76,0.73,1.06,5.09,,2.81,2.82,2.78,1.77,0.73,,,0.27
7,0.08,0.08,0.04,0.02,0.17,0.08,0.25,0.08,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.09,,,,,,,,,,,,0.4,,0.7,0.7,2.14,,,,,,1.25,0.6,0.83,,0.27
8,0.02,0.02,0.01,,0.04,0.02,0.07,0.02,0.01,0.02,0.02,0.02,0.02,0.04,0.02,0.07,0.03,,,,,,,,,,,,0.18,,0.63,0.27,2.18,,1.15,,,,0.86,0.63,,,0.32
9,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,,,,,,,,,,,0.46,,0.12,0.67,1.85,,,19.63,19.98,18.04,1.03,0.53,19.54,,0.54
10,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.01,0.01,0.01,,,,0.01,,0.01,,,,,,,,,,,,0.13,,0.14,0.25,1.39,,3.76,,,,1.39,0.34,13.11,,0.25
11,0.02,0.02,0.01,,0.04,0.02,0.07,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.04,,,2.25,,0.94,0.45,0.46,,0.37,0.47,0.77,0.14,1.13,0.27,0.62,1.1,0.44,15.72,2.02,2.03,2.01,2.76,0.34,1.59,3.96,0.24
12,0.01,0.01,0.01,,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.03,,0.28,0.11,0.21,0.2,0.43,0.37,,0.62,0.95,1.5,0.11,5.11,0.32,0.41,1.11,1.78,1.77,13.15,12.98,12.02,1.3,0.41,5.21,,0.16
13,0.02,0.02,0.01,,0.03,,0.05,0.02,,,,0.01,0.01,,,0.01,0.01,4.45,0.2,0.31,0.25,0.31,24.53,,,,,,0.15,,0.28,0.32,1.48,,,8.22,8.46,7.77,1.91,0.49,1.0,,0.37
14,0.02,0.02,0.01,,0.04,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.06,0.16,0.26,0.61,1.38,1.28,,1.84,1.67,2.72,0.09,6.29,0.08,0.18,1.44,2.53,,,,,1.56,0.22,,,0.15
15,0.04,0.04,0.02,0.01,0.07,0.03,0.1,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.73,21.19,,7.91,,,,,,,,0.22,,0.17,0.38,1.77,,,,,,1.39,0.5,1.22,,0.12
16,0.13,0.13,0.06,0.03,0.28,0.12,0.46,0.11,0.13,0.09,0.09,0.11,0.11,0.08,0.06,0.09,0.23,,,,,,,,,,,,0.21,,0.32,0.25,1.68,,,,,,2.87,0.45,,2.85,0.28
17,0.02,0.02,0.01,,0.03,0.02,0.05,0.02,0.02,,0.01,0.02,0.02,0.03,0.02,0.01,0.04,,,,,,,,,3.48,0.61,1.16,0.45,1.52,0.36,0.95,1.57,0.49,0.89,3.08,3.05,3.02,1.56,0.85,,1.7,0.27
