,Feature,Importance
16,Expanding_Mean,0.096216336
13,Long_EMA,0.006052021
9,Short_EMA,0.004496553
5,Close_Inverse,0.0034803026
8,EMA,0.003288712
15,Lower_Band,0.0030865937
3,Close_Squared,0.0024842438
10,Rolling_Mean,0.0022775973
11,Moving_Average_10,0.0021565922
6,Moving_Average_3,0.0020529067
12,Moving_Average_15,0.0020452319
7,Moving_Average_5,0.0016779583
4,Log_Close,0.0016139984
14,Upper_Band,0.0011214096
2,Square_Root_Close,0.0010269006
0,Close,0.0008327236
1,Cumulative_Returns,0.000648222
