,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.02,,0.02,,,,0.01,0.01,0.02
1,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,
2,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,,,0.02,
3,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,,
4,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,
5,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,,0.01,
6,0.01,0.01,,,0.01,0.01,0.01,,0.01,,0.01,0.01,,,,
7,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
8,0.01,0.01,,,0.01,0.01,,,0.01,,,,,,,
9,0.05,0.05,0.03,0.01,0.05,0.04,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.03,
10,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.05,
11,0.01,0.01,0.01,,0.01,0.01,,,,,,,0.01,0.01,0.01,
12,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,,
13,0.02,0.02,0.01,,0.02,0.01,0.01,,0.01,,0.01,0.01,0.01,,,
14,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,
15,0.01,0.01,,,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
16,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,,,
17,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
18,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,
19,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
20,0.01,0.01,,,0.01,,,,0.01,,,,0.01,0.01,0.01,
21,0.05,0.05,0.02,0.01,0.05,0.03,0.03,0.02,0.04,0.02,0.01,0.01,0.01,0.01,0.01,
22,0.01,0.01,,,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.04,
23,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.03,
24,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,
25,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
26,0.01,0.01,,,0.01,,,,0.01,,,,,,0.01,
27,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,,,,,,,
28,0.05,0.05,0.03,0.01,0.05,0.05,0.05,0.03,0.07,0.03,0.03,0.03,0.02,0.02,0.02,
29,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,,0.01,
30,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
31,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
