,Feature,Importance
17,Expanding_Mean,0.09438499
10,Short_EMA,0.0077471933
7,Close_Inverse,0.006532145
4,Log_Close,0.0065313815
15,Long_EMA,0.0062111863
3,Close_Squared,0.005113491
13,Upper_Band,0.0050987415
9,EMA,0.004629966
1,Cumulative_Returns,0.0042610005
6,Close_Cubed,0.0040477696
11,Rolling_Mean,0.003923595
16,Lower_Band,0.00343758
5,Moving_Average_3,0.0033136383
8,Moving_Average_5,0.0031154184
14,Moving_Average_15,0.002975292
2,Square_Root_Close,0.0028071995
0,Close,0.0021825638
12,Moving_Average_10,0.0018441479
